household_id,region_id,size,home_type,area_type
H0000001,R029,7,Own,Urban
H0000002,R028,1,Own,Rural
H0000003,R027,1,Rent,Rural
H0000004,R008,6,Rent,Rural
H0000005,R041,1,Own,Suburban
H0000006,R042,1,Rent,Urban
H0000007,R015,4,Rent,Urban
H0000008,R049,8,Own,Suburban
H0000009,R026,2,Own,Urban
H0000010,R033,6,Own,Rural
H0000011,R035,6,Own,Urban
H0000012,R012,5,Rent,Urban
H0000013,R002,2,Own,Urban
H0000014,R038,6,Rent,Rural
H0000015,R041,8,Rent,Urban
H0000016,R035,6,Rent,Rural
H0000017,R050,8,Own,Suburban
H0000018,R019,2,Rent,Urban
H0000019,R046,4,Rent,Suburban
H0000020,R041,1,Own,Urban
H0000021,R031,2,Own,Urban
H0000022,R010,8,Own,Rural
H0000023,R029,2,Rent,Rural
H0000024,R018,5,Own,Suburban
H0000025,R037,4,Own,Suburban
H0000026,R049,5,Own,Rural
H0000027,R038,5,Own,Rural
H0000028,R043,5,Own,Suburban
H0000029,R001,2,Own,Rural
H0000030,R031,1,Rent,Suburban
H0000031,R004,1,Own,Urban
H0000032,R041,3,Own,Rural
H0000033,R004,6,Rent,Urban
H0000034,R023,8,Rent,Rural
H0000035,R027,2,Own,Urban
H0000036,R002,7,Own,Suburban
H0000037,R035,3,Rent,Suburban
H0000038,R032,8,Rent,Rural
H0000039,R040,2,Rent,Urban
H0000040,R022,5,Rent,Urban
H0000041,R005,4,Own,Suburban
H0000042,R031,3,Own,Rural
H0000043,R020,3,Rent,Suburban
H0000044,R041,7,Rent,Rural
H0000045,R043,5,Rent,Urban
H0000046,R002,4,Own,Suburban
H0000047,R021,6,Own,Suburban
H0000048,R040,1,Own,Urban
H0000049,R023,5,Rent,Rural
H0000050,R020,3,Own,Rural
H0000051,R007,8,Own,Urban
H0000052,R025,7,Rent,Suburban
H0000053,R002,4,Rent,Rural
H0000054,R006,5,Rent,Suburban
H0000055,R018,4,Own,Rural
H0000056,R015,1,Own,Suburban
H0000057,R019,5,Own,Urban
H0000058,R046,4,Rent,Rural
H0000059,R025,8,Own,Rural
H0000060,R045,4,Rent,Suburban
H0000061,R025,1,Own,Urban
H0000062,R033,2,Rent,Rural
H0000063,R017,3,Own,Rural
H0000064,R037,5,Own,Urban
H0000065,R029,1,Rent,Rural
H0000066,R030,3,Own,Urban
H0000067,R020,8,Own,Rural
H0000068,R041,8,Rent,Urban
H0000069,R018,5,Own,Suburban
H0000070,R006,8,Own,Rural
H0000071,R029,3,Own,Rural
H0000072,R024,8,Own,Rural
H0000073,R026,6,Own,Urban
H0000074,R021,6,Own,Rural
H0000075,R011,1,Own,Suburban
H0000076,R036,1,Own,Rural
H0000077,R016,3,Rent,Rural
H0000078,R044,4,Own,Rural
H0000079,R001,6,Own,Rural
H0000080,R001,4,Own,Urban
H0000081,R038,1,Own,Urban
H0000082,R009,1,Own,Urban
H0000083,R002,4,Rent,Suburban
H0000084,R043,8,Own,Rural
H0000085,R020,6,Rent,Suburban
H0000086,R043,7,Own,Suburban
H0000087,R004,8,Rent,Urban
H0000088,R045,7,Own,Suburban
H0000089,R037,2,Rent,Urban
H0000090,R011,6,Own,Rural
H0000091,R033,4,Own,Rural
H0000092,R009,1,Rent,Rural
H0000093,R044,7,Own,Urban
H0000094,R049,6,Rent,Urban
H0000095,R004,1,Own,Rural
H0000096,R003,5,Rent,Suburban
H0000097,R020,8,Own,Suburban
H0000098,R014,5,Rent,Suburban
H0000099,R018,7,Own,Suburban
H0000100,R009,3,Own,Rural
H0000101,R024,8,Rent,Rural
H0000102,R021,6,Rent,Suburban
H0000103,R041,8,Rent,Rural
H0000104,R042,2,Own,Suburban
H0000105,R049,4,Rent,Suburban
H0000106,R035,1,Own,Urban
H0000107,R048,2,Rent,Rural
H0000108,R005,2,Rent,Rural
H0000109,R048,4,Rent,Rural
H0000110,R041,6,Own,Suburban
H0000111,R005,1,Rent,Suburban
H0000112,R047,3,Rent,Urban
H0000113,R045,4,Rent,Suburban
H0000114,R025,6,Own,Suburban
H0000115,R002,6,Own,Rural
H0000116,R001,5,Own,Rural
H0000117,R028,4,Own,Suburban
H0000118,R022,8,Rent,Rural
H0000119,R032,1,Rent,Urban
H0000120,R019,3,Rent,Suburban
H0000121,R018,1,Rent,Rural
H0000122,R026,5,Rent,Rural
H0000123,R021,8,Own,Urban
H0000124,R008,7,Own,Rural
H0000125,R036,5,Rent,Urban
H0000126,R025,5,Rent,Urban
H0000127,R039,7,Own,Urban
H0000128,R030,5,Rent,Suburban
H0000129,R026,4,Rent,Rural
H0000130,R040,7,Rent,Rural
H0000131,R021,1,Own,Suburban
H0000132,R048,6,Own,Rural
H0000133,R008,8,Own,Rural
H0000134,R018,7,Own,Urban
H0000135,R007,3,Rent,Suburban
H0000136,R027,6,Rent,Suburban
H0000137,R001,6,Own,Urban
H0000138,R025,7,Own,Rural
H0000139,R037,6,Own,Suburban
H0000140,R045,6,Own,Urban
H0000141,R031,4,Own,Rural
H0000142,R046,3,Own,Suburban
H0000143,R046,5,Own,Rural
H0000144,R022,3,Own,Suburban
H0000145,R014,5,Rent,Urban
H0000146,R021,5,Rent,Rural
H0000147,R015,7,Own,Rural
H0000148,R031,1,Rent,Suburban
H0000149,R002,8,Own,Suburban
H0000150,R019,6,Own,Urban
H0000151,R044,8,Own,Suburban
H0000152,R023,5,Rent,Rural
H0000153,R016,5,Rent,Suburban
H0000154,R023,7,Rent,Rural
H0000155,R011,7,Rent,Urban
H0000156,R009,2,Own,Urban
H0000157,R009,3,Own,Suburban
H0000158,R028,5,Own,Urban
H0000159,R040,5,Rent,Urban
H0000160,R045,2,Rent,Urban
H0000161,R042,3,Rent,Rural
H0000162,R045,1,Own,Urban
H0000163,R044,5,Rent,Suburban
H0000164,R007,3,Rent,Urban
H0000165,R042,3,Rent,Suburban
H0000166,R028,1,Own,Urban
H0000167,R024,8,Rent,Rural
H0000168,R042,8,Rent,Suburban
H0000169,R041,6,Own,Rural
H0000170,R028,8,Rent,Suburban
H0000171,R046,3,Own,Rural
H0000172,R049,1,Own,Suburban
H0000173,R026,7,Own,Suburban
H0000174,R039,8,Rent,Urban
H0000175,R046,3,Rent,Suburban
H0000176,R020,4,Own,Suburban
H0000177,R007,2,Own,Suburban
H0000178,R026,2,Rent,Suburban
H0000179,R014,1,Own,Urban
H0000180,R032,2,Own,Rural
H0000181,R024,2,Rent,Suburban
H0000182,R021,2,Rent,Suburban
H0000183,R013,3,Rent,Urban
H0000184,R030,1,Own,Urban
H0000185,R048,6,Own,Suburban
H0000186,R031,2,Own,Suburban
H0000187,R017,2,Rent,Suburban
H0000188,R017,3,Rent,Rural
H0000189,R036,5,Rent,Suburban
H0000190,R007,2,Own,Rural
H0000191,R048,3,Own,Urban
H0000192,R037,6,Rent,Urban
H0000193,R016,3,Rent,Urban
H0000194,R006,7,Own,Suburban
H0000195,R008,4,Rent,Rural
H0000196,R019,5,Rent,Urban
H0000197,R018,4,Own,Suburban
H0000198,R049,5,Rent,Suburban
H0000199,R025,6,Own,Urban
H0000200,R027,5,Own,Rural
H0000201,R047,1,Rent,Rural
H0000202,R027,7,Own,Suburban
H0000203,R033,5,Own,Urban
H0000204,R033,3,Rent,Suburban
H0000205,R008,8,Rent,Suburban
H0000206,R019,3,Own,Urban
H0000207,R012,5,Rent,Rural
H0000208,R026,3,Own,Urban
H0000209,R001,6,Own,Rural
H0000210,R030,4,Rent,Urban
H0000211,R036,5,Own,Suburban
H0000212,R023,1,Own,Rural
H0000213,R043,5,Own,Suburban
H0000214,R006,6,Own,Suburban
H0000215,R036,7,Own,Suburban
H0000216,R020,6,Own,Rural
H0000217,R001,6,Rent,Rural
H0000218,R036,1,Rent,Urban
H0000219,R043,3,Own,Urban
H0000220,R004,6,Own,Urban
H0000221,R009,5,Own,Suburban
H0000222,R014,7,Own,Suburban
H0000223,R016,6,Own,Urban
H0000224,R010,3,Own,Rural
H0000225,R010,7,Rent,Rural
H0000226,R026,1,Own,Suburban
H0000227,R044,4,Own,Rural
H0000228,R004,6,Rent,Rural
H0000229,R013,4,Rent,Suburban
H0000230,R029,5,Own,Urban
H0000231,R023,2,Own,Rural
H0000232,R048,8,Rent,Suburban
H0000233,R005,7,Own,Rural
H0000234,R034,3,Own,Urban
H0000235,R044,6,Own,Urban
H0000236,R013,3,Own,Urban
H0000237,R040,1,Own,Rural
H0000238,R010,1,Own,Rural
H0000239,R047,7,Rent,Rural
H0000240,R049,8,Rent,Suburban
H0000241,R014,3,Own,Urban
H0000242,R023,3,Own,Rural
H0000243,R005,4,Rent,Urban
H0000244,R013,4,Own,Urban
H0000245,R020,4,Rent,Urban
H0000246,R014,5,Rent,Urban
H0000247,R037,4,Rent,Urban
H0000248,R002,4,Rent,Rural
H0000249,R045,6,Own,Suburban
H0000250,R041,8,Own,Suburban
H0000251,R045,3,Rent,Suburban
H0000252,R005,2,Rent,Rural
H0000253,R024,1,Own,Suburban
H0000254,R047,7,Own,Urban
H0000255,R044,1,Own,Rural
H0000256,R038,7,Own,Urban
H0000257,R020,7,Own,Suburban
H0000258,R005,8,Rent,Rural
H0000259,R030,8,Rent,Rural
H0000260,R012,2,Rent,Urban
H0000261,R043,4,Rent,Urban
H0000262,R003,4,Own,Urban
H0000263,R025,8,Own,Suburban
H0000264,R028,3,Own,Rural
H0000265,R028,2,Own,Urban
H0000266,R019,7,Rent,Urban
H0000267,R014,7,Rent,Suburban
H0000268,R035,4,Own,Urban
H0000269,R018,6,Rent,Rural
H0000270,R036,5,Rent,Rural
H0000271,R013,2,Own,Suburban
H0000272,R002,2,Rent,Urban
H0000273,R028,5,Rent,Urban
H0000274,R036,7,Rent,Suburban
H0000275,R050,1,Rent,Suburban
H0000276,R005,8,Rent,Rural
H0000277,R050,3,Own,Suburban
H0000278,R045,3,Own,Rural
H0000279,R008,2,Rent,Rural
H0000280,R014,2,Own,Suburban
H0000281,R016,7,Rent,Suburban
H0000282,R007,5,Own,Urban
H0000283,R016,3,Own,Suburban
H0000284,R016,3,Own,Urban
H0000285,R042,3,Rent,Urban
H0000286,R036,1,Own,Urban
H0000287,R040,6,Own,Suburban
H0000288,R020,1,Rent,Suburban
H0000289,R027,5,Rent,Rural
H0000290,R001,1,Rent,Rural
H0000291,R033,1,Rent,Urban
H0000292,R044,4,Own,Urban
H0000293,R024,3,Rent,Rural
H0000294,R022,3,Rent,Urban
H0000295,R005,7,Rent,Urban
H0000296,R005,2,Own,Suburban
H0000297,R030,6,Rent,Rural
H0000298,R050,3,Own,Urban
H0000299,R047,1,Rent,Suburban
H0000300,R035,8,Own,Urban
H0000301,R049,1,Rent,Rural
H0000302,R048,1,Own,Suburban
H0000303,R038,6,Own,Urban
H0000304,R002,7,Own,Rural
H0000305,R009,5,Own,Suburban
H0000306,R043,1,Rent,Suburban
