region_id,name,state
R001,Region 1,GA
R002,Region 2,CO
R003,Region 3,TX
R004,Region 4,CA
R005,Region 5,WA
R006,Region 6,FL
R007,Region 7,GA
R008,Region 8,GA
R009,Region 9,CO
R010,Region 10,GA
R011,Region 11,GA
R012,Region 12,IL
R013,Region 13,CO
R014,Region 14,GA
R015,Region 15,CA
R016,Region 16,TX
R017,Region 17,WA
R018,Region 18,GA
R019,Region 19,TX
R020,Region 20,CA
R021,Region 21,FL
R022,Region 22,FL
R023,Region 23,GA
R024,Region 24,TX
R025,Region 25,NY
R026,Region 26,CO
R027,Region 27,CO
R028,Region 28,IL
R029,Region 29,CO
R030,Region 30,TX
R031,Region 31,WA
R032,Region 32,CO
R033,Region 33,TX
R034,Region 34,WA
R035,Region 35,NY
R036,Region 36,TX
R037,Region 37,TX
R038,Region 38,NY
R039,Region 39,NY
R040,Region 40,IL
R041,Region 41,IL
R042,Region 42,CA
R043,Region 43,GA
R044,Region 44,CO
R045,Region 45,TX
R046,Region 46,GA
R047,Region 47,WA
R048,Region 48,CA
R049,Region 49,CO
R050,Region 50,TX
