preference_id,consumer_id,category,preference_score
PF00000001,CON0076327,Fashion,10
PF00000002,CON0052332,Fashion,7
PF00000003,CON0060008,Fashion,9
PF00000004,CON0000290,Home,1
PF00000005,CON0037344,Fashion,10
PF00000006,CON0012451,Automotive,5
PF00000007,CON0064304,Travel,1
PF00000008,CON0098558,Home,2
PF00000009,CON0089462,Entertainment,6
PF00000010,CON0027428,Entertainment,1
PF00000011,CON0038464,Entertainment,4
PF00000012,CON0070255,Health,10
PF00000013,CON0098486,Groceries,10
PF00000014,CON0089593,Fashion,4
PF00000015,CON0003112,Electronics,2
PF00000016,CON0066242,Automotive,8
PF00000017,CON0004533,Fashion,3
PF00000018,CON0085897,Automotive,6
PF00000019,CON0029488,Electronics,8
PF00000020,CON0095835,Entertainment,10
PF00000021,CON0057771,Groceries,7
PF00000022,CON0045591,Fashion,6
PF00000023,CON0012566,Health,5
PF00000024,CON0003656,Home,7
PF00000025,CON0004554,Home,2
PF00000026,CON0030357,Fashion,1
PF00000027,CON0055414,Health,6
PF00000028,CON0009515,Groceries,2
PF00000029,CON0077404,Electronics,2
PF00000030,CON0095749,Entertainment,8
PF00000031,CON0036211,Electronics,7
PF00000032,CON0017898,Entertainment,9
PF00000033,CON0015841,Fashion,5
PF00000034,CON0001112,Health,6
PF00000035,CON0038892,Entertainment,2
PF00000036,CON0071634,Electronics,9
PF00000037,CON0077638,Electronics,8
PF00000038,CON0046955,Home,6
PF00000039,CON0008359,Automotive,3
PF00000040,CON0006357,Home,7
PF00000041,CON0029449,Entertainment,3
PF00000042,CON0089827,Health,5
PF00000043,CON0045932,Automotive,5
PF00000044,CON0082490,Home,9
PF00000045,CON0077552,Health,4
PF00000046,CON0004811,Home,2
PF00000047,CON0027078,Home,6
PF00000048,CON0069711,Entertainment,9
PF00000049,CON0078130,Groceries,8
PF00000050,CON0034164,Groceries,2
PF00000051,CON0060748,Groceries,6
PF00000052,CON0047366,Automotive,7
PF00000053,CON0070955,Automotive,5
PF00000054,CON0082722,Electronics,3
PF00000055,CON0088506,Home,7
PF00000056,CON0032321,Electronics,3
PF00000057,CON0044462,Health,10
PF00000058,CON0079984,Home,5
PF00000059,CON0094001,Home,9
PF00000060,CON0095069,Fashion,6
PF00000061,CON0019052,Electronics,4
PF00000062,CON0079687,Health,4
PF00000063,CON0078560,Groceries,2
PF00000064,CON0090213,Home,4
PF00000065,CON0061127,Electronics,4
PF00000066,CON0033548,Health,2
PF00000067,CON0019258,Entertainment,1
PF00000068,CON0027335,Automotive,6
PF00000069,CON0092721,Electronics,7
PF00000070,CON0009773,Automotive,9
PF00000071,CON0014562,Home,3
PF00000072,CON0020139,Automotive,4
PF00000073,CON0093260,Entertainment,6
PF00000074,CON0027627,Fashion,5
PF00000075,CON0082218,Health,6
PF00000076,CON0057150,Entertainment,5
PF00000077,CON0085595,Fashion,8
PF00000078,CON0041470,Health,6
PF00000079,CON0083470,Home,8
PF00000080,CON0017066,Automotive,2
PF00000081,CON0064987,Entertainment,10
PF00000082,CON0020674,Health,10
PF00000083,CON0036965,Entertainment,8
PF00000084,CON0066854,Groceries,6
PF00000085,CON0045198,Home,2
PF00000086,CON0012589,Fashion,10
PF00000087,CON0077024,Automotive,5
PF00000088,CON0085454,Entertainment,1
PF00000089,CON0031517,Home,9
PF00000090,CON0042147,Entertainment,3
PF00000091,CON0049304,Electronics,3
PF00000092,CON0049569,Electronics,9
PF00000093,CON0081404,Fashion,10
PF00000094,CON0015079,Automotive,3
PF00000095,CON0063261,Groceries,6
PF00000096,CON0048060,Fashion,10
PF00000097,CON0021290,Electronics,10
PF00000098,CON0085511,Groceries,2
PF00000099,CON0002542,Health,2
PF00000100,CON0008395,Home,6
PF00000101,CON0096663,Fashion,5
PF00000102,CON0083997,Entertainment,7
PF00000103,CON0038274,Entertainment,5
PF00000104,CON0083029,Fashion,5
PF00000105,CON0036739,Electronics,6
PF00000106,CON0006027,Groceries,10
PF00000107,CON0055738,Home,3
PF00000108,CON0048970,Home,3
PF00000109,CON0027640,Home,10
PF00000110,CON0018537,Travel,10
PF00000111,CON0092836,Health,9
PF00000112,CON0004929,Home,9
PF00000113,CON0057208,Health,5
PF00000114,CON0021312,Fashion,1
PF00000115,CON0063895,Travel,4
