account_id,customer_id,account_type,balance,opened_date
A0000001,C027314,Checking,67499.43,2019-03-09
A0000002,C015780,Savings,98350.36,2022-06-17
A0000003,C026457,Investment,17219.97,2022-06-29
A0000004,C022548,Investment,87562.5,2021-01-21
A0000005,C005899,Checking,61973.79,2021-04-29
A0000006,C021703,Checking,60120.88,2020-08-09
A0000007,C018891,Savings,93880.56,2020-03-25
A0000008,C020317,Credit,41286.33,2021-09-19
A0000009,C005067,Credit,55141.59,2019-01-11
A0000010,C035567,Credit,83245.09,2022-06-20
A0000011,C009890,Checking,67602.02,2021-03-21
A0000012,C038991,Savings,36124.91,2020-08-06
A0000013,C020902,Savings,68953.48,2022-12-15
A0000014,C038929,Checking,21038.28,2021-10-26
A0000015,C032484,Credit,92807.47,2022-05-07
A0000016,C005230,Investment,10301.61,2019-11-01
A0000017,C014993,Checking,62736.92,2020-03-07
A0000018,C022231,Checking,54182.16,2020-01-28
A0000019,C033168,Checking,93963.85,2021-05-10
A0000020,C003550,Savings,96608.39,2019-03-09
A0000021,C020638,Checking,73974.55,2021-02-01
A0000022,C018921,Checking,42310.5,2021-06-30
A0000023,C037213,Investment,42006.37,2022-10-25
A0000024,C013503,Checking,66545.32,2019-07-23
A0000025,C032774,Checking,43006.37,2020-02-07
A0000026,C020706,Savings,33772.34,2021-09-01
A0000027,C033261,Investment,24628.97,2021-04-04
A0000028,C024188,Investment,38948.53,2020-04-27
A0000029,C013899,Savings,9886.31,2022-03-03
A0000030,C049912,Savings,93039.99,2021-06-11
A0000031,C035634,Checking,50778.67,2021-02-26
A0000032,C001023,Credit,4463.74,2022-09-15
A0000033,C049600,Credit,83978.65,2019-05-06
A0000034,C011759,Checking,82344.25,2021-11-11
A0000035,C000083,Credit,37825.95,2021-06-25
A0000036,C028883,Savings,76740.05,2021-09-19
A0000037,C031113,Investment,43149.93,2020-09-07
A0000038,C024071,Checking,46703.23,2021-05-29
A0000039,C017782,Savings,59487.92,2020-09-21
A0000040,C004416,Savings,2832.97,2019-01-26
A0000041,C010636,Credit,57432.83,2020-06-03
A0000042,C046231,Savings,59257.69,2023-01-28
A0000043,C012653,Investment,44494.61,2020-10-31
A0000044,C032473,Checking,57773.77,2019-05-04
A0000045,C029858,Credit,19459.92,2021-03-29
A0000046,C037483,Checking,81038.86,2022-06-20
A0000047,C005672,Checking,52272.03,2019-07-11
A0000048,C019750,Investment,10507.12,2020-09-16
A0000049,C041515,Savings,70542.58,2020-03-02
A0000050,C048137,Checking,22068.56,2019-08-12
A0000051,C012944,Investment,24806.52,2019-11-08
A0000052,C021830,Credit,15124.41,2021-02-07
A0000053,C001032,Savings,20264.9,2022-01-10
A0000054,C028178,Investment,69242.72,2019-04-20
A0000055,C036815,Checking,35429.61,2022-10-07
A0000056,C020597,Credit,50449.02,2020-08-24
A0000057,C006013,Savings,47061.1,2019-01-17
A0000058,C044486,Credit,89615.93,2020-12-21
A0000059,C022795,Credit,34188.98,2022-07-06
A0000060,C004261,Checking,46830.11,2022-03-27
A0000061,C027224,Savings,44928.76,2019-01-22
A0000062,C035177,Credit,33953.69,2019-12-19
A0000063,C047588,Investment,77444.82,2020-05-09
A0000064,C023361,Checking,65637.42,2019-11-06
A0000065,C032133,Checking,26997.28,2021-02-01
A0000066,C004151,Investment,87190.44,2021-04-29
A0000067,C006016,Investment,47051.59,2020-05-05
A0000068,C017835,Checking,50332.44,2021-04-15
A0000069,C035635,Savings,507.75,2019-01-26
A0000070,C023245,Investment,83506.93,2022-08-10
A0000071,C011899,Credit,41957.67,2019-07-08
A0000072,C049557,Investment,4470.34,2021-11-23
A0000073,C032672,Investment,69187.08,2019-11-17
A0000074,C000250,Investment,15017.52,2021-07-16
A0000075,C042445,Credit,32160.15,2022-09-29
A0000076,C031822,Credit,72352.14,2022-07-06
A0000077,C043482,Credit,85249.43,2020-08-04
A0000078,C014681,Investment,66811.21,2022-11-27
A0000079,C029640,Savings,44725.8,2022-11-18
A0000080,C037897,Credit,53667.84,2019-05-29
A0000081,C047312,Savings,85719.62,2019-11-21
A0000082,C041372,Credit,29896.38,2021-10-04
A0000083,C011911,Credit,49046.84,2021-02-09
A0000084,C007379,Investment,36540.85,2022-08-13
A0000085,C020045,Credit,27422.83,2019-07-24
A0000086,C018571,Savings,12584.7,2021-06-26
A0000087,C005660,Checking,42839.19,2021-05-12
A0000088,C019785,Savings,35474.82,2020-12-18
A0000089,C006437,Checking,4230.59,2020-12-09
A0000090,C048466,Savings,10556.87,2020-05-12
A0000091,C036710,Credit,86223.45,2021-02-28
A0000092,C012059,Checking,36427.35,2022-06-07
A0000093,C035170,Checking,44076.12,2020-08-16
A0000094,C046334,Savings,82419.42,2019-01-24
A0000095,C004404,Credit,46483.3,2020-10-31
A0000096,C013712,Credit,56193.67,2021-01-27
A0000097,C037417,Investment,23865.0,2022-11-18
A0000098,C038100,Savings,10949.38,2020-09-13
A0000099,C017248,Savings,47938.22,2020-04-12
A0000100,C020461,Credit,43826.18,2019-02-18
A0000101,C027166,Investment,99606.92,2020-08-14
A0000102,C040690,Checking,56308.17,2022-02-07
A0000103,C015674,Savings,76265.15,2020-04-13
A0000104,C005957,Credit,46565.24,2019-05-18
A0000105,C023919,Savings,82291.65,2021-08-14
A0000106,C032668,Credit,94985.78,2022-12-27
A0000107,C002633,Checking,78131.11,2022-06-16
A0000108,C012132,Investment,40144.24,2022-04-03
A0000109,C032069,Credit,92667.1,2021-08-05
A0000110,C028468,Investment,86227.28,2022-10-10
A0000111,C043286,Investment,15223.57,2022-10-05
A0000112,C035424,Investment,65648.49,2019-07-02
A0000113,C001673,Savings,39492.47,2022-01-24
A0000114,C010196,Savings,20920.09,2020-12-22
A0000115,C040671,Savings,15154.01,2020-05-05
A0000116,C035262,Savings,74681.08,2021-11-10
A0000117,C034509,Credit,29529.34,2019-03-22
A0000118,C015382,Credit,70688.35,2019-09-26
A0000119,C023546,Investment,85903.03,2022-10-03
A0000120,C007817,Investment,52706.13,2019-01-10
A0000121,C044561,Credit,79324.55,2020-02-15
A0000122,C035799,Savings,64733.08,2020-05-17
A0000123,C039689,Credit,67097.17,2021-04-03
A0000124,C008776,Investment,5281.0,2019-07-11
A0000125,C047522,Credit,61315.55,2021-04-18
A0000126,C023594,Checking,12207.38,2019-03-08
A0000127,C015835,Checking,97172.69,2021-03-03
A0000128,C006479,Checking,88125.38,2022-09-05
A0000129,C045969,Savings,12729.63,2020-12-27
A0000130,C013308,Credit,74318.62,2019-03-26
A0000131,C047491,Checking,28667.67,2020-10-09
A0000132,C032341,Investment,49641.23,2019-10-04
A0000133,C030829,Credit,48372.8,2021-07-07
A0000134,C044251,Checking,10666.28,2019-01-12
A0000135,C036223,Savings,18621.61,2019-09-18
A0000136,C028155,Savings,68103.61,2021-01-08
A0000137,C032867,Investment,74048.64,2022-08-17
A0000138,C007546,Investment,85272.04,2021-11-01
A0000139,C006045,Investment,48508.14,2022-01-04
A0000140,C034276,Checking,21622.55,2022-10-03
A0000141,C011703,Savings,91197.27,2021-05-16
A0000142,C026694,Investment,24413.05,2020-08-14
A0000143,C000029,Investment,794.52,2019-09-30
A0000144,C033778,Credit,78866.22,2020-01-02
A0000145,C049043,Checking,52310.04,2019-11-02
A0000146,C007634,Checking,85590.41,2020-08-16
A0000147,C038264,Checking,29391.5,2020-03-20
A0000148,C026721,Savings,90543.26,2023-01-15
A0000149,C016503,Savings,77629.57,2020-05-06
A0000150,C035760,Investment,75109.18,2021-02-09
A0000151,C021131,Savings,30927.48,2020-09-02
A0000152,C044255,Investment,33807.02,2021-09-01
A0000153,C009090,Credit,12546.71,2020-07-25
A0000154,C041746,Credit,1264.3,2022-01-09
A0000155,C024608,Savings,37150.82,2019-01-25
A0000156,C042421,Checking,59846.18,2019-06-11
A0000157,C041135,Investment,55565.97,2019-06-01
A0000158,C026248,Investment,55841.74,2020-01-16
A0000159,C026816,Checking,84493.12,2021-02-20
A0000160,C040203,Savings,27360.43,2021-10-19
A0000161,C030173,Investment,52153.75,2019-08-22
A0000162,C014919,Checking,98717.85,2020-08-09
A0000163,C022160,Checking,92544.88,2022-03-10
A0000164,C032797,Investment,69200.38,2020-02-03
A0000165,C004559,Savings,49295.89,2021-10-17
A0000166,C043080,Credit,95213.41,2022-11-02
A0000167,C048579,Investment,63997.53,2021-11-29
A0000168,C009815,Savings,82995.5,2021-06-14
A0000169,C023101,Credit,87378.73,2021-04-07
A0000170,C035629,Checking,54841.44,2022-02-03
A0000171,C044031,Checking,46396.58,2022-07-01
A0000172,C040847,Checking,27166.94,2020-06-27
A0000173,C029640,Savings,88415.35,2020-04-08
A0000174,C033027,Credit,24595.03,2022-04-16
A0000175,C041918,Investment,96550.63,2019-06-28
A0000176,C021056,Savings,78551.43,2020-04-08
A0000177,C037527,Credit,71874.32,2020-06-08
A0000178,C035319,Investment,29784.13,2021-08-28
A0000179,C016617,Checking,40067.45,2022-11-06
A0000180,C035511,Checking,33483.81,2019-05-04
A0000181,C012855,Savings,22851.72,2020-05-01
A0000182,C024940,Investment,92371.32,2020-05-23
A0000183,C010469,Savings,59160.79,2021-05-25
A0000184,C017908,Savings,57120.99,2022-03-07
A0000185,C012845,Investment,27311.57,2023-01-09
A0000186,C007312,Credit,55114.35,2023-01-02
A0000187,C039224,Checking,9721.48,2019-01-12
A0000188,C037121,Credit,7047.27,2019-10-02
A0000189,C002187,Checking,1202.54,2019-04-15
A0000190,C020925,Checking,52237.04,2019-08-03
A0000191,C032510,Credit,98848.06,2021-03-02
A0000192,C005298,Investment,89370.16,2022-10-01
A0000193,C005610,Checking,57838.67,2022-12-06
A0000194,C002070,Investment,78500.43,2022-05-04
A0000195,C013302,Credit,9942.13,2019-01-22
A0000196,C025096,Checking,31830.29,2022-09-07
A0000197,C031011,Credit,35507.22,2021-05-16
A0000198,C001934,Investment,48356.11,2022-03-05
A0000199,C001552,Credit,8576.77,2019-12-24
A0000200,C015651,Investment,37017.47,2020-04-15
A0000201,C005762,Checking,31902.16,2022-05-12
A0000202,C008447,Checking,75105.35,2020-12-12
A0000203,C036686,Credit,21565.44,2020-05-18
A0000204,C048713,Checking,61821.3,2019-09-08
A0000205,C000830,Credit,27865.64,2020-08-24
A0000206,C017813,Checking,13080.48,2021-08-08
A0000207,C044203,Checking,829.53,2021-12-25
A0000208,C028558,Credit,72242.84,2022-06-27
A0000209,C009134,Investment,89373.74,2019-01-28
A0000210,C044205,Investment,33436.35,2019-08-29
A0000211,C020333,Investment,82967.28,2020-07-24
A0000212,C038504,Investment,34225.97,2023-01-07
A0000213,C008289,Investment,33868.97,2022-10-16
A0000214,C032006,Checking,4627.19,2021-10-01
A0000215,C006250,Savings,47526.71,2019-06-18
A0000216,C014978,Investment,37249.11,2020-12-06
A0000217,C013960,Investment,46571.73,2020-04-03
A0000218,C022693,Checking,66787.98,2022-03-28
A0000219,C041665,Credit,33432.26,2019-03-08
A0000220,C021682,Savings,54567.71,2021-02-15
A0000221,C010866,Credit,40162.38,2021-09-16
A0000222,C049747,Savings,30320.04,2023-01-16
A0000223,C024662,Savings,71385.5,2020-05-11
A0000224,C035272,Credit,62244.21,2022-06-23
A0000225,C030725,Savings,21940.47,2022-01-18
A0000226,C024090,Savings,28488.81,2023-01-05
A0000227,C048323,Investment,8512.7,2019-05-21
A0000228,C025027,Investment,83294.31,2021-04-30
A0000229,C030573,Investment,91427.44,2020-09-29
A0000230,C046529,Credit,34464.27,2022-01-23
A0000231,C044202,Investment,76052.29,2022-08-03
A0000232,C015470,Checking,6027.89,2021-08-13
A0000233,C036271,Savings,45879.21,2021-07-25
A0000234,C026258,Checking,68527.21,2020-07-25
A0000235,C025112,Credit,10186.11,2019-07-12
A0000236,C043610,Credit,70571.43,2021-07-12
A0000237,C001060,Investment,8101.72,2020-04-25
A0000238,C038713,Investment,7811.33,2019-07-24
A0000239,C040054,Credit,95220.01,2020-09-10
A0000240,C043313,Checking,66565.52,2021-03-10
A0000241,C043181,Savings,27114.11,2019-07-31
A0000242,C026592,Savings,25187.03,2022-11-08
A0000243,C023304,Savings,83.42,2022-07-09
A0000244,C040515,Checking,70682.81,2019-04-01
A0000245,C021630,Checking,32649.44,2020-12-09
A0000246,C040977,Credit,63635.08,2021-05-04
A0000247,C035892,Investment,50262.68,2019-10-28
A0000248,C033051,Credit,4461.87,2020-11-03
A0000249,C046604,Credit,30191.37,2020-07-20
