customer_id,name,segment,region,signup_date
C000001,Customer 1,Student,North,2019-11-03
C000002,Customer 2,Student,East,2021-02-25
C000003,Customer 3,Retail,South,2020-11-17
C000004,Customer 4,Retail,South,2022-10-18
C000005,Customer 5,Student,South,2021-02-09
C000006,Customer 6,Business,South,2021-10-03
C000007,Customer 7,Retail,East,2021-03-25
C000008,Customer 8,Student,West,2020-09-28
C000009,Customer 9,Student,East,2020-06-13
C000010,Customer 10,Retail,South,2022-07-06
C000011,Customer 11,Retail,West,2022-11-23
C000012,Customer 12,Student,South,2019-03-30
C000013,Customer 13,Student,North,2019-03-11
C000014,Customer 14,Retail,South,2019-06-21
C000015,Customer 15,Retail,North,2019-01-14
C000016,Customer 16,Business,South,2020-01-21
C000017,Customer 17,Premium,North,2020-07-18
C000018,Customer 18,Business,South,2020-06-17
C000019,Customer 19,Premium,West,2022-04-01
C000020,Customer 20,Business,West,2020-09-17
C000021,Customer 21,Retail,South,2020-05-22
C000022,Customer 22,Retail,East,2020-09-29
C000023,Customer 23,Premium,North,2021-12-12
C000024,Customer 24,Retail,South,2022-08-12
C000025,Customer 25,Business,South,2022-09-27
C000026,Customer 26,Premium,North,2019-04-21
C000027,Customer 27,Student,South,2019-11-26
C000028,Customer 28,Business,North,2021-07-04
C000029,Customer 29,Student,West,2020-08-08
C000030,Customer 30,Retail,North,2019-11-05
C000031,Customer 31,Student,South,2019-05-21
C000032,Customer 32,Business,South,2022-03-15
C000033,Customer 33,Student,West,2021-08-26
C000034,Customer 34,Business,South,2019-11-29
C000035,Customer 35,Student,West,2021-08-09
C000036,Customer 36,Retail,North,2022-07-13
C000037,Customer 37,Student,North,2023-01-23
C000038,Customer 38,Student,West,2022-12-20
C000039,Customer 39,Premium,North,2019-06-13
C000040,Customer 40,Business,South,2019-07-14
C000041,Customer 41,Student,South,2022-08-17
C000042,Customer 42,Premium,North,2021-09-08
C000043,Customer 43,Premium,North,2019-03-10
C000044,Customer 44,Business,West,2019-12-04
C000045,Customer 45,Business,West,2020-07-12
C000046,Customer 46,Premium,East,2019-03-10
C000047,Customer 47,Retail,South,2021-10-29
C000048,Customer 48,Retail,South,2020-10-16
C000049,Customer 49,Premium,West,2020-02-09
C000050,Customer 50,Business,South,2022-04-06
C000051,Customer 51,Business,North,2021-06-02
C000052,Customer 52,Student,West,2021-04-03
C000053,Customer 53,Premium,East,2022-01-27
C000054,Customer 54,Student,South,2020-09-12
C000055,Customer 55,Student,East,2022-06-28
C000056,Customer 56,Business,South,2021-10-27
C000057,Customer 57,Premium,North,2021-02-17
C000058,Customer 58,Student,West,2020-09-24
C000059,Customer 59,Student,North,2022-11-19
C000060,Customer 60,Retail,North,2022-09-26
C000061,Customer 61,Student,West,2019-01-25
C000062,Customer 62,Business,West,2021-02-26
C000063,Customer 63,Business,South,2022-08-04
C000064,Customer 64,Retail,South,2019-08-29
C000065,Customer 65,Premium,East,2022-01-05
C000066,Customer 66,Retail,North,2019-04-18
C000067,Customer 67,Premium,North,2021-04-20
C000068,Customer 68,Premium,North,2020-09-07
C000069,Customer 69,Business,South,2023-02-01
C000070,Customer 70,Premium,South,2021-02-04
C000071,Customer 71,Retail,North,2021-09-26
C000072,Customer 72,Retail,West,2021-01-25
C000073,Customer 73,Student,North,2019-01-22
C000074,Customer 74,Business,South,2019-09-28
C000075,Customer 75,Retail,East,2021-01-10
C000076,Customer 76,Student,South,2022-09-27
C000077,Customer 77,Premium,East,2020-05-20
C000078,Customer 78,Student,South,2019-04-06
C000079,Customer 79,Premium,East,2019-01-21
C000080,Customer 80,Retail,East,2022-11-22
C000081,Customer 81,Student,East,2019-12-06
C000082,Customer 82,Business,East,2022-12-24
C000083,Customer 83,Retail,West,2019-01-22
C000084,Customer 84,Retail,West,2020-10-20
C000085,Customer 85,Premium,East,2019-11-05
C000086,Customer 86,Retail,South,2019-11-06
C000087,Customer 87,Student,North,2019-04-20
C000088,Customer 88,Premium,East,2019-01-01
C000089,Customer 89,Retail,North,2021-12-15
C000090,Customer 90,Retail,East,2022-04-25
C000091,Customer 91,Business,West,2021-03-23
C000092,Customer 92,Business,West,2022-03-02
C000093,Customer 93,Student,West,2022-11-06
C000094,Customer 94,Student,East,2019-10-31
C000095,Customer 95,Student,West,2022-03-21
C000096,Customer 96,Student,West,2021-04-23
C000097,Customer 97,Retail,East,2021-04-22
C000098,Customer 98,Premium,North,2019-07-24
C000099,Customer 99,Business,East,2021-05-08
C000100,Customer 100,Premium,North,2020-07-19
C000101,Customer 101,Retail,West,2019-06-25
C000102,Customer 102,Premium,North,2021-11-04
C000103,Customer 103,Retail,North,2019-11-13
C000104,Customer 104,Student,South,2023-01-31
C000105,Customer 105,Premium,North,2020-07-12
C000106,Customer 106,Business,South,2019-12-22
C000107,Customer 107,Premium,North,2020-04-16
C000108,Customer 108,Business,East,2019-11-21
C000109,Customer 109,Retail,West,2022-08-19
C000110,Customer 110,Business,South,2019-01-03
C000111,Customer 111,Business,East,2019-06-21
C000112,Customer 112,Retail,South,2022-08-11
C000113,Customer 113,Student,South,2021-07-18
C000114,Customer 114,Premium,West,2022-09-21
C000115,Customer 115,Retail,North,2021-10-09
C000116,Customer 116,Retail,North,2021-05-20
C000117,Customer 117,Retail,North,2020-05-16
C000118,Customer 118,Retail,South,2020-11-03
C000119,Customer 119,Premium,South,2021-10-02
C000120,Customer 120,Business,West,2022-11-14
C000121,Customer 121,Premium,East,2021-09-29
C000122,Customer 122,Student,East,2022-05-19
C000123,Customer 123,Business,West,2022-06-28
C000124,Customer 124,Student,West,2022-08-21
C000125,Customer 125,Retail,North,2019-02-03
C000126,Customer 126,Premium,East,2022-02-19
C000127,Customer 127,Premium,South,2021-05-01
C000128,Customer 128,Retail,West,2020-07-06
C000129,Customer 129,Student,North,2020-07-16
C000130,Customer 130,Premium,West,2020-07-01
C000131,Customer 131,Business,South,2020-07-19
C000132,Customer 132,Premium,East,2022-03-05
C000133,Customer 133,Retail,West,2020-01-09
C000134,Customer 134,Retail,South,2022-06-22
C000135,Customer 135,Student,East,2020-10-09
C000136,Customer 136,Business,West,2020-07-23
C000137,Customer 137,Student,East,2019-12-31
C000138,Customer 138,Student,North,2020-08-23
C000139,Customer 139,Premium,West,2019-01-31
C000140,Customer 140,Retail,East,2020-04-10
C000141,Customer 141,Retail,East,2021-03-12
C000142,Customer 142,Student,East,2022-06-12
C000143,Customer 143,Business,West,2021-07-08
C000144,Customer 144,Business,West,2022-08-22
C000145,Customer 145,Student,East,2019-02-08
C000146,Customer 146,Student,East,2020-06-01
C000147,Customer 147,Retail,West,2019-02-21
C000148,Customer 148,Premium,North,2020-01-27
C000149,Customer 149,Retail,West,2022-11-21
C000150,Customer 150,Premium,North,2019-04-05
C000151,Customer 151,Student,West,2019-06-21
C000152,Customer 152,Premium,North,2020-06-01
