loan_id,customer_id,loan_date,amount,interest_rate,term_months,status
L000001,C018315,2022-01-05,29930.76,13.7,36,active
L000002,C045397,2022-11-26,169592.26,4.98,24,active
L000003,C008335,2021-06-01,115071.85,8.09,60,active
L000004,C027335,2022-04-16,318663.75,5.3,12,active
L000005,C002790,2022-09-07,263195.99,4.88,60,paid
L000006,C010532,2020-11-05,25026.73,14.89,60,active
L000007,C017656,2020-04-10,113418.21,5.31,48,paid
L000008,C025775,2022-07-13,36735.14,9.17,36,defaulted
L000009,C042178,2023-04-08,384510.56,13.82,24,paid
L000010,C049726,2021-12-07,285708.11,9.48,48,active
L000011,C000876,2020-08-07,221806.54,9.46,48,active
L000012,C041179,2023-04-06,285493.64,9.77,36,active
L000013,C043261,2022-12-07,218538.29,9.25,24,defaulted
L000014,C037582,2020-09-09,148458.05,10.37,36,active
L000015,C029929,2021-03-27,401233.63,13.98,60,active
L000016,C032288,2022-11-02,57068.42,10.21,12,defaulted
L000017,C028032,2020-02-10,215687.4,6.04,24,paid
L000018,C011818,2021-08-27,23680.06,5.71,36,defaulted
L000019,C047631,2020-08-03,306298.26,9.15,48,defaulted
L000020,C037091,2020-08-24,309301.42,12.72,48,active
L000021,C033968,2022-09-05,222729.26,12.24,60,active
L000022,C007978,2020-01-30,98649.7,5.08,24,active
L000023,C016261,2022-02-09,55168.6,7.27,12,active
L000024,C029237,2022-08-10,283434.39,4.55,36,active
L000025,C038671,2023-01-27,410437.37,9.09,60,active
L000026,C045475,2021-01-13,152111.42,10.92,12,active
L000027,C002781,2020-07-24,111209.83,10.18,12,active
L000028,C007146,2023-04-01,444847.73,9.98,12,active
L000029,C028878,2022-12-07,123938.11,14.0,24,active
L000030,C011704,2020-09-11,276518.79,11.7,24,active
L000031,C047746,2020-07-05,333258.9,7.33,36,paid
L000032,C034589,2022-10-26,89597.81,9.29,48,active
L000033,C036975,2021-04-13,398105.49,9.51,36,active
L000034,C023225,2020-01-01,42419.15,14.84,48,paid
L000035,C009556,2022-12-31,26731.74,7.83,12,paid
L000036,C019169,2020-06-05,479999.68,3.81,60,active
L000037,C028246,2020-04-08,408981.48,8.3,24,active
L000038,C013226,2023-01-15,434629.07,5.73,48,active
L000039,C047711,2020-06-07,228071.43,6.44,12,active
L000040,C025894,2022-12-26,465115.03,13.91,12,paid
L000041,C000639,2020-08-30,161704.39,10.86,48,active
L000042,C048581,2020-10-21,245563.67,6.5,24,defaulted
L000043,C001804,2021-03-09,335755.53,5.54,24,active
L000044,C012052,2023-01-21,153341.81,10.22,60,active
L000045,C047297,2021-02-09,415367.42,3.46,36,active
L000046,C047411,2020-07-13,87548.96,13.04,48,active
L000047,C015237,2020-06-09,7994.97,4.85,60,active
L000048,C033168,2023-01-10,318827.92,4.87,48,defaulted
L000049,C046810,2021-11-04,403831.13,7.3,60,defaulted
L000050,C023638,2020-10-29,187907.26,7.56,24,active
L000051,C036547,2022-09-19,358655.26,12.49,24,active
L000052,C042672,2022-04-30,31050.86,6.64,48,defaulted
L000053,C042495,2023-01-03,278331.67,12.2,60,paid
L000054,C012288,2022-11-21,98089.2,12.83,12,active
L000055,C039186,2021-07-23,23771.63,6.8,12,paid
L000056,C011347,2022-06-24,470210.52,4.75,60,active
L000057,C025886,2020-11-13,207935.89,6.64,60,active
L000058,C044218,2021-05-28,392714.4,4.28,36,paid
L000059,C023093,2022-12-13,330438.15,6.3,36,active
L000060,C009767,2020-11-04,278598.18,14.35,12,defaulted
L000061,C010097,2021-07-10,483750.84,11.85,12,active
L000062,C043990,2021-10-04,307442.85,14.2,12,active
L000063,C035971,2021-06-14,142236.15,3.03,48,active
L000064,C005370,2022-10-26,392005.11,13.82,24,active
L000065,C019132,2023-01-17,348896.01,13.54,12,active
L000066,C037860,2023-03-25,485115.14,5.27,36,active
L000067,C005447,2021-01-24,406545.11,11.14,60,active
L000068,C046012,2021-05-12,220610.6,11.0,60,defaulted
L000069,C029391,2020-07-22,148314.48,10.58,36,active
L000070,C030492,2021-06-12,279268.59,12.37,48,active
L000071,C020714,2020-06-19,13094.59,4.98,12,active
L000072,C028355,2021-01-18,350009.71,13.99,24,defaulted
L000073,C020187,2021-09-22,185143.29,13.95,24,active
L000074,C000466,2020-05-21,257907.43,8.54,12,paid
L000075,C048088,2020-07-19,345764.76,3.4,48,active
L000076,C013006,2022-12-16,282927.61,12.62,60,active
L000077,C013440,2021-08-16,349716.4,9.84,36,active
L000078,C028862,2022-11-29,88615.12,5.5,48,paid
L000079,C002237,2020-09-23,276205.27,14.73,48,active
L000080,C049134,2022-03-06,331500.71,8.64,48,active
L000081,C045439,2021-12-20,280433.27,12.26,12,defaulted
L000082,C043470,2023-04-13,5801.15,5.09,60,active
L000083,C028340,2022-02-03,485045.83,12.29,48,paid
L000084,C010555,2022-05-17,211209.0,8.26,12,active
L000085,C005223,2021-01-18,489734.36,10.5,48,active
L000086,C015147,2020-01-12,406983.34,11.96,36,active
L000087,C036953,2020-03-25,490420.31,3.47,24,paid
L000088,C047221,2021-11-14,336654.36,3.49,12,active
L000089,C027349,2021-02-17,341100.59,12.44,48,active
L000090,C048330,2020-09-21,83370.14,10.42,60,paid
L000091,C026356,2021-07-10,243100.57,10.25,60,defaulted
L000092,C044392,2020-12-02,24015.22,8.03,12,active
L000093,C017939,2020-03-21,371554.94,11.85,48,active
L000094,C047258,2020-03-18,381450.35,14.31,48,paid
L000095,C006438,2022-02-15,361793.23,3.75,24,paid
L000096,C041963,2021-11-13,319315.63,3.47,24,defaulted
L000097,C003795,2021-08-31,276574.14,11.82,12,paid
L000098,C008921,2022-05-23,322029.85,10.29,48,active
L000099,C037573,2020-07-01,153076.01,3.82,48,defaulted
L000100,C040521,2020-07-29,298872.87,14.79,36,active
L000101,C042614,2020-06-03,487720.34,12.92,60,active
L000102,C015607,2021-07-17,57987.31,11.98,12,paid
L000103,C000644,2021-05-09,294830.7,5.69,36,active
L000104,C015372,2021-08-02,17476.13,14.57,48,paid
L000105,C009456,2021-04-24,484803.52,14.41,24,defaulted
L000106,C015654,2021-06-11,256371.56,4.89,48,defaulted
L000107,C036913,2022-10-25,173433.52,7.32,48,active
L000108,C006526,2022-04-14,111463.09,4.57,12,paid
L000109,C027207,2020-04-29,306824.14,7.25,60,paid
L000110,C042650,2021-09-04,122776.45,6.56,36,paid
