ws_sold_date_sk,ws_sold_time_sk,ws_ship_date_sk,ws_item_sk,ws_bill_customer_sk,ws_bill_cdemo_sk,ws_bill_hdemo_sk,ws_bill_addr_sk,ws_ship_customer_sk,ws_ship_cdemo_sk,ws_ship_hdemo_sk,ws_ship_addr_sk,ws_web_page_sk,ws_web_site_sk,ws_ship_mode_sk,ws_warehouse_sk,ws_promo_sk,ws_order_number,ws_quantity,ws_wholesale_cost,ws_list_price,ws_sales_price,ws_ext_discount_amt,ws_ext_sales_price,ws_ext_wholesale_cost,ws_ext_list_price,ws_ext_tax,ws_coupon_amt,ws_ext_ship_cost,ws_net_paid,ws_net_paid_inc_tax,ws_net_paid_inc_ship,ws_net_paid_inc_ship_tax,ws_net_profit
2451383,73313,2451482,14,74,1037,1096,407,919,2913,1140,351,1,1,4,1,3,1,57,33.59,59.45,38.04,1220.37,2168.28,1914.63,3388.65,50.95,1149.18,575.70,1019.10,1070.05,1594.80,1645.75,-895.53
2451383,73313,2451411,86,74,1037,1096,407,919,2913,1140,351,1,1,3,1,1,1,38,29.83,48.92,26.41,855.38,1003.58,1133.54,1858.96,30.10,0.00,910.86,1003.58,1033.68,1914.44,1944.54,-129.96
2451383,73313,2451413,109,74,1037,1096,407,919,2913,1140,351,1,1,10,1,3,1,32,49.72,107.89,97.10,345.28,3107.20,1591.04,3452.48,124.28,0.00,828.48,3107.20,3231.48,3935.68,4059.96,1516.16
2451383,73313,2451393,4,74,1037,1096,407,919,2913,1140,351,1,1,6,1,3,1,65,69.18,112.07,22.41,5827.90,1456.65,4496.70,7284.55,29.13,0.00,2476.50,1456.65,1485.78,3933.15,3962.28,-3040.05
2451383,73313,2451502,172,74,1037,1096,407,919,2913,1140,351,1,1,2,1,3,1,58,36.62,41.38,16.13,1464.50,935.54,2123.96,2400.04,84.19,0.00,167.62,935.54,1019.73,1103.16,1187.35,-1188.42
2451383,73313,2451421,164,74,1037,1096,407,919,2913,1140,351,1,1,2,1,2,1,90,72.05,161.39,27.43,12056.40,2468.70,6484.50,14525.10,74.06,0.00,4647.60,2468.70,2542.76,7116.30,7190.36,-4015.80
2451383,73313,2451457,2,74,1037,1096,407,919,2913,1140,351,1,1,16,1,2,1,15,83.92,174.55,69.82,1570.95,1047.30,1258.80,2618.25,20.94,0.00,392.70,1047.30,1068.24,1440.00,1460.94,-211.50
2451383,73313,2451430,76,74,1037,1096,407,919,2913,1140,351,1,1,14,1,1,1,16,45.27,128.56,68.13,966.88,1090.08,724.32,2056.96,87.20,0.00,370.24,1090.08,1177.28,1460.32,1547.52,365.76
2451383,73313,2451458,146,74,1037,1096,407,919,2913,1140,351,1,1,8,1,1,1,54,53.45,60.39,26.57,1826.28,1434.78,2886.30,3261.06,48.78,215.21,488.70,1219.57,1268.35,1708.27,1757.05,-1666.73
2452625,34964,2452675,75,296,13514,2684,278,428,7113,3907,401,1,1,20,1,2,2,37,37.65,63.25,37.31,959.78,1380.47,1393.05,2340.25,124.24,0.00,537.98,1380.47,1504.71,1918.45,2042.69,-12.58
2452625,34964,2452716,18,296,13514,2684,278,428,7113,3907,401,1,1,9,1,1,2,100,17.10,47.70,28.62,1908.00,2862.00,1710.00,4770.00,28.62,0.00,1192.00,2862.00,2890.62,4054.00,4082.62,1152.00
2452625,34964,2452715,79,296,13514,2684,278,428,7113,3907,401,1,1,6,1,3,2,27,79.79,225.00,58.50,4495.50,1579.50,2154.33,6075.00,15.79,0.00,1822.50,1579.50,1595.29,3402.00,3417.79,-574.83
2452625,34964,2452729,72,296,13514,2684,278,428,7113,3907,401,1,1,18,1,1,2,68,36.43,109.29,103.82,371.96,7059.76,2477.24,7431.72,0.00,0.00,1411.68,7059.76,7059.76,8471.44,8471.44,4582.52
2452625,34964,2452741,135,296,13514,2684,278,428,7113,3907,401,1,1,19,1,3,2,18,35.69,102.78,99.69,55.62,1794.42,642.42,1850.04,17.94,0.00,73.98,1794.42,1812.36,1868.40,1886.34,1152.00
2452625,34964,2452725,138,296,13514,2684,278,428,7113,3907,401,1,1,11,1,3,2,74,19.15,57.45,57.45,0.00,4251.30,1417.10,4251.30,170.05,0.00,807.34,4251.30,4421.35,5058.64,5228.69,2834.20
2452625,34964,2452743,49,296,13514,2684,278,428,7113,3907,401,1,1,5,1,3,2,13,89.10,134.54,55.16,1031.94,717.08,1158.30,1749.02,64.53,0.00,174.85,717.08,781.61,891.93,956.46,-441.22
2452625,34964,2452702,141,296,13514,2684,278,428,7113,3907,401,1,1,16,1,3,2,47,49.64,68.99,12.41,2659.26,583.27,2333.08,3242.53,52.49,0.00,1134.58,583.27,635.76,1717.85,1770.34,-1749.81
2452625,34964,2452638,117,296,13514,2684,278,428,7113,3907,401,1,1,16,1,2,2,12,7.24,12.16,11.91,3.00,142.92,86.88,145.92,10.00,0.00,29.16,142.92,152.92,172.08,182.08,56.04
2451754,1529,2451774,37,800,9421,3450,375,180,8209,5550,475,1,1,7,1,3,3,6,45.21,67.36,30.31,222.30,181.86,271.26,404.16,16.36,0.00,185.88,181.86,198.22,367.74,384.10,-89.40
2451754,1529,2451819,128,800,9421,3450,375,180,8209,5550,475,1,1,3,1,3,3,43,9.62,13.08,9.02,174.58,387.86,413.66,562.44,19.39,0.00,117.82,387.86,407.25,505.68,525.07,-25.80
2451754,1529,2451836,101,800,9421,3450,375,180,8209,5550,475,1,1,1,1,1,3,57,35.95,62.55,43.78,1069.89,2495.46,2049.15,3565.35,224.59,0.00,962.16,2495.46,2720.05,3457.62,3682.21,446.31
2451754,1529,2451769,161,800,9421,3450,375,180,8209,5550,475,1,1,6,1,3,3,93,65.80,152.65,29.00,11499.45,2697.00,6119.40,14196.45,215.76,0.00,7097.76,2697.00,2912.76,9794.76,10010.52,-3422.40
2451754,1529,2451763,67,800,9421,3450,375,180,8209,5550,475,1,1,18,1,3,3,93,55.42,127.46,1.27,11735.67,118.11,5154.06,11853.78,4.72,0.00,1421.97,118.11,122.83,1540.08,1544.80,-5035.95
2451754,1529,2451863,80,800,9421,3450,375,180,8209,5550,475,1,1,3,1,1,3,82,48.65,91.94,8.27,6860.94,678.14,3989.30,7539.08,13.56,0.00,2788.82,678.14,691.70,3466.96,3480.52,-3311.16
2451754,1529,2451868,59,800,9421,3450,375,180,8209,5550,475,1,1,9,1,3,3,33,80.23,90.65,55.29,1166.88,1824.57,2647.59,2991.45,0.00,0.00,478.50,1824.57,1824.57,2303.07,2303.07,-823.02
2451754,1529,2451833,175,800,9421,3450,375,180,8209,5550,475,1,1,1,1,3,3,96,14.57,30.59,8.25,2144.64,792.00,1398.72,2936.64,55.44,0.00,968.64,792.00,847.44,1760.64,1816.08,-606.72
