individual_id,household_id,age,gender,education,employment,income
I00000001,H0056650,46,M,Some College,Unemployed,34224
I00000002,H0011214,92,M,Doctorate,Self-Employed,308156
I00000003,H0097818,17,F,HS Diploma,Unemployed,253101
I00000004,H0006396,52,M,Some College,Unemployed,193040
I00000005,H0000551,32,F,Some College,Retired,477297
I00000006,H0093607,41,M,Some College,Student,311756
I00000007,H0070606,56,F,Masters,Retired,453077
I00000008,H0057957,55,M,Doctorate,Student,342662
I00000009,H0082538,95,F,HS Diploma,Employed,448031
I00000010,H0078807,25,F,Some College,Employed,50821
I00000011,H0063714,29,F,Some College,Employed,113958
I00000012,H0023092,9,M,Masters,Employed,321489
I00000013,H0097933,57,F,HS Diploma,Student,377634
I00000014,H0042903,63,M,Doctorate,Self-Employed,250750
I00000015,H0060215,6,M,Masters,Student,92224
I00000016,H0016925,49,F,Some College,Retired,4140
I00000017,H0033831,64,F,Doctorate,Self-Employed,85450
I00000018,H0024850,65,M,HS Diploma,Self-Employed,464496
I00000019,H0006856,18,M,Bachelors,Unemployed,297443
I00000020,H0046123,6,M,Masters,Student,432255
I00000021,H0085536,32,F,Some College,Self-Employed,109252
I00000022,H0044079,46,F,Masters,Employed,96546
I00000023,H0080294,7,F,Bachelors,Retired,344069
I00000024,H0009411,81,M,Less than HS,Unemployed,227860
I00000025,H0011008,96,M,Some College,Retired,351294
I00000026,H0050793,60,M,Some College,Self-Employed,22639
I00000027,H0060751,35,M,Some College,Unemployed,371416
I00000028,H0039743,18,M,Doctorate,Student,43641
I00000029,H0022627,30,M,Some College,Retired,8601
I00000030,H0004030,71,F,Bachelors,Employed,184192
I00000031,H0092428,20,M,Doctorate,Employed,478612
I00000032,H0017322,74,M,Bachelors,Retired,300381
I00000033,H0052770,71,F,Masters,Student,104865
I00000034,H0061082,35,F,Doctorate,Student,293564
I00000035,H0002758,79,F,HS Diploma,Unemployed,7486
I00000036,H0044581,41,F,Less than HS,Unemployed,364977
I00000037,H0092514,52,M,HS Diploma,Student,423101
I00000038,H0078553,23,M,Less than HS,Self-Employed,474226
I00000039,H0086484,10,F,Some College,Self-Employed,30509
I00000040,H0086432,17,F,Doctorate,Retired,436668
I00000041,H0095561,36,F,Masters,Unemployed,303810
I00000042,H0088587,87,F,Bachelors,Retired,224442
I00000043,H0011681,100,F,Bachelors,Employed,392657
I00000044,H0042946,82,F,Bachelors,Retired,158874
I00000045,H0093630,20,F,Masters,Retired,274178
I00000046,H0056737,25,M,HS Diploma,Self-Employed,214379
I00000047,H0076710,4,F,Doctorate,Unemployed,274562
I00000048,H0054949,43,M,Less than HS,Retired,257196
I00000049,H0005958,95,F,Masters,Retired,175552
I00000050,H0026698,67,M,Less than HS,Self-Employed,291383
I00000051,H0009383,52,F,Doctorate,Retired,15978
I00000052,H0036248,40,F,Doctorate,Employed,119000
I00000053,H0059580,74,M,Bachelors,Employed,462586
I00000054,H0016898,7,F,Bachelors,Unemployed,391218
I00000055,H0004726,46,M,Bachelors,Student,84187
I00000056,H0080223,4,F,Less than HS,Unemployed,276870
I00000057,H0065483,1,M,Doctorate,Unemployed,374909
I00000058,H0025532,4,M,Masters,Unemployed,322083
I00000059,H0049196,61,F,Masters,Retired,281150
I00000060,H0011277,62,F,Doctorate,Unemployed,267038
I00000061,H0081581,18,M,Masters,Employed,209565
I00000062,H0007335,19,M,Some College,Unemployed,71787
I00000063,H0000108,51,F,Masters,Retired,234628
I00000064,H0063434,20,F,Doctorate,Retired,227565
I00000065,H0057984,22,M,Less than HS,Self-Employed,169337
I00000066,H0082270,76,F,Bachelors,Retired,316374
I00000067,H0096336,59,F,Some College,Self-Employed,452676
I00000068,H0058954,22,F,Doctorate,Student,440546
I00000069,H0037601,81,F,Bachelors,Retired,98203
I00000070,H0002964,85,F,Masters,Employed,384668
I00000071,H0058300,5,F,Doctorate,Self-Employed,458889
I00000072,H0069659,29,M,Masters,Employed,73103
I00000073,H0051767,20,M,Masters,Self-Employed,184090
I00000074,H0091968,43,M,Bachelors,Retired,234781
I00000075,H0040681,94,M,HS Diploma,Student,134825
I00000076,H0041433,48,F,Less than HS,Student,182149
I00000077,H0036173,65,M,HS Diploma,Retired,146634
I00000078,H0089018,68,M,Masters,Employed,41130
I00000079,H0031606,69,M,Some College,Retired,263781
I00000080,H0055010,79,F,Doctorate,Unemployed,268985
I00000081,H0042914,23,M,Bachelors,Retired,206085
I00000082,H0070668,24,F,Masters,Self-Employed,286494
I00000083,H0080764,57,F,Doctorate,Retired,213480
I00000084,H0079004,85,M,Doctorate,Student,238789
I00000085,H0053448,47,F,Some College,Employed,486061
I00000086,H0063071,83,F,HS Diploma,Unemployed,295687
I00000087,H0032636,88,M,Less than HS,Unemployed,356883
I00000088,H0023573,87,M,Doctorate,Student,399378
I00000089,H0029700,33,M,Doctorate,Unemployed,101881
I00000090,H0093961,0,F,Doctorate,Unemployed,104556
I00000091,H0075837,78,M,Bachelors,Student,140483
I00000092,H0043355,12,M,Less than HS,Retired,404574
I00000093,H0046861,74,F,Less than HS,Retired,233264
I00000094,H0043069,31,F,Less than HS,Employed,116653
I00000095,H0083980,19,F,Bachelors,Employed,60125
I00000096,H0074634,8,F,Some College,Student,362366
I00000097,H0080545,51,F,Doctorate,Retired,2121
I00000098,H0026420,92,M,Less than HS,Unemployed,200197
I00000099,H0058972,66,F,Some College,Self-Employed,332127
I00000100,H0041297,68,F,HS Diploma,Retired,429414
I00000101,H0054745,24,F,Masters,Student,283265
I00000102,H0043049,14,F,Doctorate,Unemployed,348613
I00000103,H0098882,79,F,Masters,Student,5346
I00000104,H0059876,91,F,Less than HS,Self-Employed,303765
I00000105,H0015387,61,F,Bachelors,Self-Employed,469567
I00000106,H0095351,52,F,HS Diploma,Retired,330857
I00000107,H0028264,67,M,Bachelors,Self-Employed,181005
I00000108,H0070550,26,M,Masters,Employed,178221
I00000109,H0020185,82,F,HS Diploma,Retired,489319
I00000110,H0000650,39,M,Doctorate,Employed,87907
I00000111,H0014829,31,F,Masters,Retired,292324
I00000112,H0037426,94,M,Less than HS,Employed,3686
I00000113,H0041326,3,M,Masters,Unemployed,295601
I00000114,H0083575,8,M,HS Diploma,Student,245187
I00000115,H0034425,59,M,Masters,Student,177557
I00000116,H0095682,78,M,Masters,Self-Employed,478032
I00000117,H0082825,65,M,Less than HS,Retired,184521
I00000118,H0029354,20,M,Some College,Retired,269421
I00000119,H0080656,58,F,Doctorate,Self-Employed,373815
I00000120,H0009924,84,F,Some College,Self-Employed,471879
I00000121,H0068650,24,M,Doctorate,Student,351634
I00000122,H0068787,13,M,Less than HS,Student,83107
I00000123,H0094534,31,M,Doctorate,Employed,167787
I00000124,H0066903,7,M,Some College,Student,112983
I00000125,H0051430,32,M,Less than HS,Self-Employed,322699
I00000126,H0070187,20,F,Bachelors,Employed,141688
I00000127,H0011956,25,F,Less than HS,Retired,456294
I00000128,H0007248,71,M,Doctorate,Employed,318287
I00000129,H0055089,79,M,HS Diploma,Student,418224
I00000130,H0047166,38,F,Doctorate,Self-Employed,436025
I00000131,H0099704,27,M,HS Diploma,Unemployed,380678
I00000132,H0055786,25,F,Less than HS,Self-Employed,352176
I00000133,H0063280,90,F,Some College,Self-Employed,346794
I00000134,H0089971,40,M,Masters,Employed,270551
I00000135,H0021830,56,F,Some College,Self-Employed,93323
I00000136,H0017796,34,F,Masters,Student,262343
I00000137,H0003712,53,M,Masters,Student,186155
I00000138,H0084376,93,F,Masters,Retired,307084
I00000139,H0058396,57,F,Doctorate,Retired,385945
I00000140,H0017305,73,F,HS Diploma,Retired,40327
I00000141,H0084143,73,F,Masters,Student,372452
I00000142,H0082483,27,M,Some College,Self-Employed,444341
I00000143,H0015992,40,F,Some College,Self-Employed,16603
I00000144,H0021756,22,F,Doctorate,Retired,463861
I00000145,H0075048,17,F,Some College,Unemployed,318104
I00000146,H0092732,31,M,Doctorate,Unemployed,26010
I00000147,H0042325,93,M,Doctorate,Self-Employed,80464
I00000148,H0089437,79,F,Bachelors,Self-Employed,142572
I00000149,H0048154,88,F,HS Diploma,Retired,366725
I00000150,H0030289,78,F,Doctorate,Student,429529
I00000151,H0051546,43,F,Some College,Employed,250116
I00000152,H0055529,67,F,Some College,Self-Employed,189611
I00000153,H0055073,89,F,HS Diploma,Self-Employed,266237
I00000154,H0002465,59,F,Doctorate,Retired,314696
I00000155,H0068835,0,F,Masters,Unemployed,66426
I00000156,H0080893,32,M,Doctorate,Student,82704
I00000157,H0033362,92,M,Masters,Unemployed,493908
I00000158,H0071103,98,F,Doctorate,Student,329290
I00000159,H0098408,79,M,HS Diploma,Employed,123610
I00000160,H0015807,57,F,HS Diploma,Employed,57481
I00000161,H0017534,19,M,Masters,Employed,410304
I00000162,H0032913,20,M,Bachelors,Unemployed,169837
I00000163,H0027197,17,F,Doctorate,Employed,87594
I00000164,H0072204,78,M,Some College,Self-Employed,343079
I00000165,H0009424,96,F,Bachelors,Retired,397538
I00000166,H0001154,36,F,HS Diploma,Student,165629
I00000167,H0088771,38,F,Bachelors,Self-Employed,262737
I00000168,H0080286,35,M,Less than HS,Unemployed,133293
I00000169,H0085846,98,M,Some College,Student,326440
I00000170,H0079661,9,M,HS Diploma,Unemployed,81373
I00000171,H0055996,10,M,Doctorate,Unemployed,110387
I00000172,H0074521,51,F,Masters,Employed,177378
I00000173,H0037636,11,M,Masters,Self-Employed,327412
I00000174,H0034236,27,F,Some College,Unemployed,44401
I00000175,H0011441,81,M,Some College,Self-Employed,126694
I00000176,H0070067,4,M,Doctorate,Student,359526
I00000177,H0062602,54,F,HS Diploma,Employed,134411
I00000178,H0066192,74,M,Bachelors,Retired,430038
I00000179,H0047002,48,F,Bachelors,Student,62109
I00000180,H0082131,28,M,Less than HS,Retired,317985
I00000181,H0051791,18,F,Some College,Student,90977
I00000182,H0006132,26,M,Doctorate,Unemployed,33618
I00000183,H0091396,50,F,Less than HS,Self-Employed,256431
I00000184,H0065380,15,F,Less than HS,Self-Employed,301357
I00000185,H0005845,6,M,Masters,Self-Employed,331729
I00000186,H0090374,54,M,Bachelors,Employed,441882
I00000187,H0022696,74,F,Less than HS,Retired,204573
I00000188,H0076854,85,F,Doctorate,Retired,252366
I00000189,H0041612,12,M,Less than HS,Unemployed,150103
I00000190,H0064907,58,M,Masters,Employed,2917
I00000191,H0044317,93,F,HS Diploma,Employed,294019
I00000192,H0096078,66,F,Less than HS,Retired,184689
I00000193,H0055174,1,M,Doctorate,Unemployed,210864
I00000194,H0093843,88,M,Some College,Unemployed,496676
I00000195,H0022151,57,M,Bachelors,Self-Employed,24434
I00000196,H0097042,41,M,Some College,Self-Employed,348538
I00000197,H0085445,57,F,Some College,Retired,127361
I00000198,H0041876,2,M,Doctorate,Student,6101
I00000199,H0097904,14,M,Less than HS,Retired,8477
I00000200,H0016103,77,F,Masters,Self-Employed,13551
I00000201,H0027481,15,F,HS Diploma,Employed,9126
I00000202,H0054893,23,M,Masters,Unemployed,190170
I00000203,H0064660,7,F,Doctorate,Self-Employed,257004
I00000204,H0091212,20,F,Doctorate,Student,468937
I00000205,H0005724,52,M,Masters,Unemployed,414336
I00000206,H0077004,93,F,Masters,Student,41706
I00000207,H0040930,91,M,Doctorate,Student,28053
I00000208,H0030429,91,F,Masters,Employed,172114
I00000209,H0075679,2,F,Some College,Employed,94635
I00000210,H0004951,29,M,Masters,Self-Employed,378386
I00000211,H0047459,49,F,HS Diploma,Student,264754
I00000212,H0066998,25,M,Masters,Self-Employed,77687
I00000213,H0029159,36,M,Bachelors,Employed,84866
I00000214,H0083883,36,F,Doctorate,Employed,221999
I00000215,H0037794,80,M,Bachelors,Unemployed,361076
I00000216,H0052978,88,M,HS Diploma,Student,452043
I00000217,H0064649,35,F,Less than HS,Unemployed,203647
I00000218,H0004161,30,F,Masters,Retired,77162
I00000219,H0051340,46,M,Doctorate,Employed,443858
I00000220,H0048695,96,F,Masters,Student,369221
I00000221,H0009097,32,M,Less than HS,Employed,494907
I00000222,H0031349,26,F,Some College,Student,55180
I00000223,H0004630,58,M,Some College,Retired,270639
I00000224,H0083235,77,F,Bachelors,Student,157685
I00000225,H0095248,94,M,Some College,Student,157667
I00000226,H0039704,88,F,Masters,Retired,390775
I00000227,H0075922,53,M,Bachelors,Employed,283213
I00000228,H0020892,94,M,HS Diploma,Self-Employed,135338
I00000229,H0026844,42,F,Doctorate,Self-Employed,225366
I00000230,H0020689,70,M,Masters,Retired,59652
I00000231,H0008161,51,M,HS Diploma,Self-Employed,25716
