consumer_id,age,gender,income_bracket,education,region
CON0000001,87,F,<25K,Graduate,North
CON0000002,82,M,100K+,HS,East
CON0000003,63,M,50-75K,Graduate,North
CON0000004,43,M,<25K,Graduate,East
CON0000005,72,M,25-50K,HS,South
CON0000006,65,M,<25K,Graduate,North
CON0000007,73,F,75-100K,College,West
CON0000008,43,M,25-50K,Graduate,East
CON0000009,23,F,100K+,HS,West
CON0000010,63,M,<25K,Bachelors,South
CON0000011,30,M,25-50K,HS,South
CON0000012,89,F,25-50K,HS,East
CON0000013,85,F,<25K,Graduate,South
CON0000014,74,M,50-75K,Graduate,North
CON0000015,31,F,50-75K,Bachelors,South
CON0000016,34,M,<25K,Bachelors,South
CON0000017,38,M,<25K,Graduate,East
CON0000018,62,M,50-75K,HS,North
CON0000019,19,M,75-100K,Bachelors,East
CON0000020,23,M,<25K,HS,South
CON0000021,26,F,25-50K,Graduate,West
CON0000022,72,F,<25K,HS,East
CON0000023,73,M,75-100K,HS,West
CON0000024,51,F,<25K,HS,East
CON0000025,68,F,75-100K,Bachelors,South
CON0000026,73,M,<25K,College,West
CON0000027,69,M,<25K,HS,West
CON0000028,39,M,75-100K,College,North
CON0000029,89,M,25-50K,HS,East
CON0000030,28,M,25-50K,College,North
CON0000031,34,F,75-100K,HS,South
CON0000032,36,F,100K+,College,West
CON0000033,75,M,25-50K,HS,South
CON0000034,18,F,25-50K,College,North
CON0000035,82,M,25-50K,HS,South
CON0000036,78,M,75-100K,Graduate,East
CON0000037,41,M,50-75K,Graduate,South
CON0000038,76,M,75-100K,Bachelors,East
CON0000039,22,M,<25K,HS,East
CON0000040,72,F,25-50K,Bachelors,North
CON0000041,23,M,50-75K,Bachelors,North
CON0000042,25,M,25-50K,Bachelors,North
CON0000043,28,M,<25K,HS,South
CON0000044,59,M,<25K,HS,South
CON0000045,19,M,100K+,Graduate,West
CON0000046,79,F,<25K,Graduate,West
CON0000047,57,F,50-75K,Bachelors,West
CON0000048,18,F,75-100K,HS,North
CON0000049,90,M,<25K,HS,South
CON0000050,36,M,75-100K,Bachelors,West
CON0000051,73,M,25-50K,College,West
CON0000052,32,F,100K+,Graduate,West
CON0000053,19,M,25-50K,College,North
CON0000054,44,F,100K+,Bachelors,South
CON0000055,47,M,25-50K,HS,West
CON0000056,34,M,<25K,Bachelors,South
CON0000057,22,M,<25K,Graduate,South
CON0000058,29,M,100K+,HS,East
CON0000059,54,F,25-50K,Graduate,North
CON0000060,24,F,25-50K,Graduate,East
CON0000061,90,M,100K+,Bachelors,North
CON0000062,56,M,75-100K,HS,East
CON0000063,28,M,75-100K,College,East
CON0000064,19,F,25-50K,College,North
CON0000065,87,M,<25K,HS,North
CON0000066,44,M,25-50K,Graduate,North
CON0000067,30,F,50-75K,HS,West
CON0000068,31,M,<25K,Graduate,North
CON0000069,86,M,<25K,College,West
CON0000070,30,F,50-75K,HS,West
CON0000071,32,F,100K+,Graduate,West
CON0000072,45,F,100K+,Bachelors,South
CON0000073,72,F,25-50K,College,West
CON0000074,60,F,100K+,HS,North
CON0000075,82,F,75-100K,Graduate,East
CON0000076,70,M,100K+,HS,East
CON0000077,69,F,50-75K,College,South
CON0000078,68,F,<25K,Bachelors,East
CON0000079,28,M,25-50K,College,South
CON0000080,45,M,75-100K,Graduate,South
CON0000081,53,F,<25K,HS,East
CON0000082,31,M,75-100K,Graduate,North
CON0000083,20,M,25-50K,Graduate,South
CON0000084,43,M,50-75K,Bachelors,East
CON0000085,68,F,100K+,Graduate,West
CON0000086,60,M,100K+,HS,East
CON0000087,71,M,<25K,HS,West
CON0000088,43,M,<25K,College,South
CON0000089,90,F,<25K,Bachelors,East
CON0000090,66,M,100K+,Graduate,West
CON0000091,72,F,75-100K,HS,East
CON0000092,59,F,100K+,Graduate,North
CON0000093,70,F,<25K,Bachelors,South
CON0000094,47,F,50-75K,HS,South
CON0000095,80,F,<25K,Graduate,South
CON0000096,19,F,75-100K,HS,South
CON0000097,23,F,50-75K,College,North
CON0000098,28,M,50-75K,College,East
CON0000099,25,F,25-50K,College,West
CON0000100,45,M,100K+,HS,West
CON0000101,43,M,<25K,College,South
CON0000102,88,M,<25K,HS,East
CON0000103,78,F,50-75K,Bachelors,North
CON0000104,77,M,75-100K,HS,South
CON0000105,88,M,<25K,College,West
CON0000106,22,M,50-75K,HS,South
CON0000107,31,F,75-100K,Bachelors,North
CON0000108,21,F,25-50K,HS,East
CON0000109,45,F,25-50K,Bachelors,East
CON0000110,61,M,50-75K,HS,East
CON0000111,47,M,25-50K,Bachelors,West
CON0000112,30,M,75-100K,College,East
CON0000113,78,F,<25K,HS,East
CON0000114,74,M,50-75K,Bachelors,East
CON0000115,49,F,100K+,HS,West
CON0000116,48,F,25-50K,College,West
CON0000117,52,M,25-50K,HS,West
CON0000118,36,M,25-50K,Bachelors,East
CON0000119,42,F,100K+,Bachelors,North
CON0000120,45,F,<25K,College,East
CON0000121,67,M,<25K,Graduate,South
CON0000122,90,F,100K+,Graduate,North
CON0000123,45,F,<25K,Graduate,North
CON0000124,62,F,100K+,Bachelors,East
CON0000125,78,F,100K+,HS,East
CON0000126,63,M,25-50K,Bachelors,West
CON0000127,34,F,100K+,Bachelors,North
CON0000128,67,M,25-50K,Graduate,West
CON0000129,90,F,75-100K,Graduate,East
CON0000130,31,M,75-100K,Bachelors,South
CON0000131,30,M,100K+,College,East
CON0000132,66,M,50-75K,College,North
CON0000133,63,M,<25K,College,North
CON0000134,41,F,25-50K,HS,West
CON0000135,71,M,100K+,HS,South
CON0000136,44,F,<25K,Bachelors,North
CON0000137,50,M,50-75K,HS,North
CON0000138,29,M,50-75K,College,North
CON0000139,26,M,25-50K,HS,East
CON0000140,64,M,100K+,Bachelors,East
CON0000141,38,F,75-100K,College,West
CON0000142,76,M,75-100K,College,North
CON0000143,34,M,<25K,Bachelors,West
CON0000144,90,F,25-50K,College,East
CON0000145,63,F,75-100K,College,East
CON0000146,79,M,<25K,HS,South
CON0000147,87,M,25-50K,College,West
CON0000148,34,M,100K+,HS,North
CON0000149,39,F,50-75K,Graduate,West
CON0000150,23,M,100K+,HS,East
CON0000151,41,M,100K+,Graduate,East
CON0000152,29,M,75-100K,Bachelors,West
CON0000153,41,F,<25K,College,West
CON0000154,65,M,<25K,Bachelors,West
CON0000155,41,F,<25K,College,West
CON0000156,74,M,25-50K,College,West
CON0000157,86,M,75-100K,Graduate,North
CON0000158,66,M,50-75K,Bachelors,East
CON0000159,78,F,50-75K,HS,North
CON0000160,80,M,<25K,Graduate,North
CON0000161,40,F,75-100K,College,East
CON0000162,30,F,<25K,Bachelors,South
CON0000163,87,F,50-75K,Bachelors,East
CON0000164,63,F,50-75K,HS,East
