ACTIVE,BKCLASS,ROA,LONGITUDE,ROE,STNAME,ASSET,OFFICES,NETINC,DEP,NAME,CITY,CERT,STALP,LATITUDE,ESTYMD
1,NM,0.3648207474627595,-88.989642750933,3.71,Wisconsin,263059,6,239,221684,Ergo Bank,Markesan,10004,WI,43.714717688837,01/20/1910
1,NM,1.5502125750589724,-89.6620579667678,23.94,Wisconsin,509650,6,1974,393758,Woodford State Bank,Monroe,10011,WI,42.6040529890936,01/01/1915
1,NM,1.3169262381208116,-89.4103400266777,10.71,Wisconsin,212581,4,705,176573,The Portage County Bank,Almond,10012,WI,44.2578870171019,01/01/1901
1,NM,1.6889812168534264,-91.5608120018434,14.3,Wisconsin,241081,4,998,204562,Security Bank,New Auburn,10015,WI,45.2041540132855,08/28/1907
1,N,1.6765150192359801,-88.4475480245648,8.84,Wisconsin,2933056,34,12266,2317148,National Exchange Bank and Trust,Fond Du Lac,10044,WI,43.7751139950823,12/20/1933
1,SM,1.0546132111199011,-84.77510499059,12.69,Michigan,2203614,32,5754,1890688,Isabella Bank,Mount Pleasant,1005,MI,43.6042419837808,07/01/1903
1,NM,0.9358914365933552,-82.345320006062,9.91,Georgia,334787,7,775,301581,First Southern Bank,Waycross,10055,GA,31.2097449839161,06/19/1907
1,NM,0.3608860455442876,-82.972288961975,2.28,Georgia,84575,1,77,70975,Bank of Hancock County,Sparta,10057,GA,33.2763470072655,09/01/1904
1,NM,0.3574890518977856,-84.2083180156575,4.45,Georgia,145493,2,130,123806,Planters and Citizens Bank,Camilla,10072,GA,31.2318460090234,05/24/1913
1,NM,0.5126425119483086,-83.764276552836,6.63,Georgia,73232,2,96,66833,Apex Banking Company of Georgia,Cleveland,10074,GA,34.577834282339,07/16/1907
1,NM,1.3708252623512633,-88.6163929983119,11.98,Illinois,47037,1,161,41151,Peoples State Bank of Colfax,Colfax,10075,IL,40.5672510203753,06/01/1892
1,NM,1.4416324367298263,-89.4858080006604,4.9,Illinois,38322,1,136,26926,Farmers State Bank of Emden,Emden,10077,IL,40.2992860182651,05/25/1891
1,SM,0.4494539836370659,-84.2471630239148,3.71,Michigan,159724,3,176,133330,Bank Michigan,Brooklyn,1008,MI,42.0976269906841,10/01/1907
1,NM,1.4960125852462625,-85.3305495831233,13.92,Indiana,507010,7,1852,448951,The Napoleon State Bank,Napoleon,10101,IN,39.2046590825134,12/09/1903
1,NM,1.36980377540325,-91.016013022054,11.32,Iowa,489249,6,1663,408837,Ohnward Bank & Trust,Cascade,10111,IA,42.2984940196846,02/28/1903
1,NM,1.6745367383159817,-92.9205720279927,14.82,Iowa,293411,4,1223,248766,Leighton State Bank,Pella,10118,IA,41.408333010696,07/14/1911
1,NM,-0.8987407568872717,-90.9284620317297,-7.36,Iowa,28689,1,-67,23629,American Trust and Savings Bank,Lowden,10120,IA,41.8578939986685,10/01/1913
1,NM,1.5559584638206692,-90.9086700113996,8.2,Iowa,182910,3,708,147545,Liberty Trust & Savings Bank,Durant,10121,IA,41.6006559886041,01/01/1905
1,NM,1.2781017223364455,-92.4648969864775,18.95,Iowa,232530,2,711,212260,Farmers Savings Bank & Trust,Traer,10122,IA,42.1931280066227,01/01/1915
1,NM,0.9104513723979102,-91.2834420014561,12.21,Iowa,175037,2,381,159377,Citizens Savings Bank,Anamosa,10125,IA,42.1080930121746,11/08/1906
1,NM,1.7839079431966154,-92.4153880180863,14.69,Iowa,267113,3,1197,227009,Success Bank,Bloomfield,10127,IA,40.752479010612,01/01/1900
1,NM,2.019691306991712,-93.6226040281461,19.96,Iowa,146440,3,739,117570,Exchange State Bank,Ames,10132,IA,42.054617014739,01/01/1902
