customer_id,name,segment,region,signup_date
C000001,Customer 1,Small Business,Central,2024-04-21
C000002,Customer 2,Small Business,Central,2024-08-24
C000003,Customer 3,Corporate,South,2024-06-08
C000004,Customer 4,Small Business,Central,2023-07-10
C000005,Customer 5,Consumer,West,2023-11-07
C000006,Customer 6,Corporate,North,2024-07-05
C000007,Customer 7,Consumer,Central,2024-02-10
C000008,Customer 8,Small Business,Central,2024-10-27
C000009,Customer 9,Corporate,Central,2023-01-16
C000010,Customer 10,Consumer,North,2023-02-06
C000011,Customer 11,Corporate,South,2024-09-06
C000012,Customer 12,Consumer,West,2023-12-01
C000013,Customer 13,Small Business,Central,2023-07-20
C000014,Customer 14,Corporate,East,2024-05-26
C000015,Customer 15,Consumer,North,2024-04-13
C000016,Customer 16,Home Office,West,2024-07-18
C000017,Customer 17,Consumer,East,2023-11-19
C000018,Customer 18,Corporate,Central,2023-10-23
C000019,Customer 19,Consumer,North,2024-07-30
C000020,Customer 20,Consumer,West,2023-04-21
C000021,Customer 21,Home Office,West,2023-03-10
C000022,Customer 22,Consumer,North,2023-08-07
C000023,Customer 23,Corporate,North,2024-04-26
C000024,Customer 24,Small Business,West,2024-03-05
C000025,Customer 25,Consumer,Central,2024-10-06
C000026,Customer 26,Corporate,East,2023-12-11
C000027,Customer 27,Consumer,East,2023-12-07
C000028,Customer 28,Consumer,West,2023-05-01
C000029,Customer 29,Corporate,South,2023-04-14
C000030,Customer 30,Consumer,North,2024-04-21
C000031,Customer 31,Small Business,South,2024-11-29
C000032,Customer 32,Corporate,West,2024-06-05
C000033,Customer 33,Corporate,South,2024-03-05
C000034,Customer 34,Small Business,North,2024-02-09
C000035,Customer 35,Small Business,South,2023-01-01
C000036,Customer 36,Home Office,Central,2023-11-08
C000037,Customer 37,Consumer,South,2023-07-11
C000038,Customer 38,Small Business,Central,2024-10-19
C000039,Customer 39,Consumer,North,2023-05-30
C000040,Customer 40,Corporate,West,2023-09-22
C000041,Customer 41,Consumer,Central,2023-12-03
C000042,Customer 42,Home Office,West,2023-03-17
C000043,Customer 43,Consumer,North,2023-08-02
C000044,Customer 44,Corporate,North,2024-09-07
C000045,Customer 45,Home Office,East,2024-09-29
C000046,Customer 46,Small Business,South,2024-08-24
C000047,Customer 47,Small Business,Central,2023-05-19
C000048,Customer 48,Small Business,South,2024-10-04
C000049,Customer 49,Corporate,East,2023-08-22
C000050,Customer 50,Corporate,South,2023-06-12
C000051,Customer 51,Corporate,West,2024-05-09
C000052,Customer 52,Consumer,West,2023-02-18
C000053,Customer 53,Consumer,North,2023-02-09
C000054,Customer 54,Home Office,South,2024-02-06
C000055,Customer 55,Home Office,West,2024-09-02
C000056,Customer 56,Small Business,East,2024-06-16
C000057,Customer 57,Corporate,North,2023-05-10
C000058,Customer 58,Corporate,West,2024-07-26
C000059,Customer 59,Consumer,East,2023-08-06
C000060,Customer 60,Corporate,North,2023-03-12
C000061,Customer 61,Home Office,West,2024-04-01
C000062,Customer 62,Corporate,North,2023-02-17
C000063,Customer 63,Corporate,East,2024-01-13
C000064,Customer 64,Corporate,North,2024-01-06
C000065,Customer 65,Corporate,West,2023-12-05
C000066,Customer 66,Corporate,Central,2023-02-05
C000067,Customer 67,Consumer,West,2024-01-02
C000068,Customer 68,Home Office,North,2023-01-22
C000069,Customer 69,Consumer,West,2023-03-10
C000070,Customer 70,Home Office,East,2023-05-20
C000071,Customer 71,Consumer,North,2024-04-08
C000072,Customer 72,Home Office,North,2023-05-13
C000073,Customer 73,Home Office,East,2023-03-28
C000074,Customer 74,Small Business,North,2024-03-03
C000075,Customer 75,Consumer,West,2024-08-09
C000076,Customer 76,Consumer,Central,2024-11-09
C000077,Customer 77,Small Business,West,2024-08-19
C000078,Customer 78,Consumer,Central,2023-03-15
C000079,Customer 79,Consumer,North,2024-10-16
C000080,Customer 80,Consumer,East,2024-03-02
C000081,Customer 81,Home Office,West,2024-08-17
C000082,Customer 82,Small Business,West,2024-04-18
C000083,Customer 83,Consumer,Central,2024-06-10
C000084,Customer 84,Consumer,East,2024-09-07
C000085,Customer 85,Consumer,West,2023-01-23
C000086,Customer 86,Corporate,North,2024-05-24
C000087,Customer 87,Small Business,East,2023-01-12
C000088,Customer 88,Home Office,East,2023-05-27
C000089,Customer 89,Corporate,Central,2023-06-23
C000090,Customer 90,Home Office,West,2024-05-25
C000091,Customer 91,Corporate,East,2024-02-19
C000092,Customer 92,Home Office,South,2024-10-11
C000093,Customer 93,Small Business,South,2023-08-08
C000094,Customer 94,Small Business,South,2024-08-20
C000095,Customer 95,Home Office,South,2023-05-20
C000096,Customer 96,Corporate,West,2023-12-26
C000097,Customer 97,Consumer,North,2023-10-11
C000098,Customer 98,Corporate,North,2024-04-06
C000099,Customer 99,Small Business,East,2023-08-08
C000100,Customer 100,Small Business,West,2024-10-02
C000101,Customer 101,Small Business,East,2024-10-01
C000102,Customer 102,Small Business,East,2023-03-18
C000103,Customer 103,Consumer,East,2024-09-14
C000104,Customer 104,Consumer,East,2024-08-07
C000105,Customer 105,Home Office,East,2024-10-26
C000106,Customer 106,Consumer,South,2024-02-19
C000107,Customer 107,Small Business,South,2023-01-26
C000108,Customer 108,Home Office,South,2023-05-25
C000109,Customer 109,Consumer,North,2024-04-02
C000110,Customer 110,Consumer,Central,2024-11-01
C000111,Customer 111,Home Office,North,2024-12-01
C000112,Customer 112,Corporate,South,2024-05-01
C000113,Customer 113,Home Office,South,2023-01-12
C000114,Customer 114,Small Business,Central,2023-02-07
C000115,Customer 115,Corporate,South,2023-10-06
C000116,Customer 116,Home Office,Central,2024-06-16
C000117,Customer 117,Corporate,West,2023-08-18
C000118,Customer 118,Consumer,West,2024-02-02
C000119,Customer 119,Corporate,West,2024-04-09
C000120,Customer 120,Corporate,North,2024-01-21
C000121,Customer 121,Home Office,West,2023-12-01
C000122,Customer 122,Corporate,North,2024-10-19
C000123,Customer 123,Consumer,South,2023-09-06
