order_id,customer_id,order_date,status,channel
O0000001,C037673,2024-04-15,pending,Web
O0000002,C010490,2023-08-06,completed,Mobile
O0000003,C018292,2024-10-06,completed,Store
O0000004,C029988,2023-07-27,completed,Store
O0000005,C031454,2023-06-22,refunded,Mobile
O0000006,C006074,2023-08-19,completed,Partner
O0000007,C015922,2023-02-07,completed,Mobile
O0000008,C047648,2024-06-18,refunded,Partner
O0000009,C019781,2023-11-08,pending,Web
O0000010,C022145,2024-08-25,refunded,Web
O0000011,C023897,2024-04-19,completed,Store
O0000012,C048106,2023-12-23,completed,Mobile
O0000013,C030927,2024-07-14,pending,Store
O0000014,C026844,2023-08-18,completed,Mobile
O0000015,C044588,2024-03-10,refunded,Store
O0000016,C037595,2024-09-06,completed,Partner
O0000017,C049835,2023-09-30,refunded,Web
O0000018,C022135,2023-07-19,completed,Partner
O0000019,C024991,2024-08-30,completed,Store
O0000020,C045996,2023-01-06,completed,Web
O0000021,C026290,2023-01-11,refunded,Store
O0000022,C020348,2024-04-21,pending,Web
O0000023,C029661,2024-04-21,completed,Partner
O0000024,C046786,2023-12-06,completed,Store
O0000025,C043918,2023-09-14,completed,Web
O0000026,C013412,2024-08-16,refunded,Web
O0000027,C027908,2023-02-07,completed,Partner
O0000028,C007237,2024-05-21,refunded,Mobile
O0000029,C005551,2024-07-07,completed,Mobile
O0000030,C037273,2023-12-03,pending,Mobile
O0000031,C009698,2024-05-06,refunded,Web
O0000032,C021904,2024-11-16,refunded,Mobile
O0000033,C043745,2024-03-03,completed,Mobile
O0000034,C022926,2024-02-06,completed,Web
O0000035,C020216,2023-03-13,completed,Web
O0000036,C040490,2024-01-24,completed,Web
O0000037,C046245,2023-05-31,completed,Partner
O0000038,C044433,2023-01-23,completed,Web
O0000039,C005599,2023-04-17,completed,Partner
O0000040,C019697,2024-08-20,refunded,Partner
O0000041,C046354,2023-08-03,completed,Mobile
O0000042,C029850,2023-03-31,completed,Web
O0000043,C019070,2023-06-15,completed,Web
O0000044,C030156,2023-08-22,completed,Mobile
O0000045,C039309,2024-03-20,refunded,Store
O0000046,C045751,2024-04-11,completed,Partner
O0000047,C043287,2024-10-01,completed,Mobile
O0000048,C022436,2023-01-13,completed,Partner
O0000049,C040893,2024-04-08,completed,Web
O0000050,C035474,2024-10-17,completed,Store
O0000051,C015246,2023-10-30,completed,Store
O0000052,C021670,2023-03-01,completed,Partner
O0000053,C015488,2023-01-10,completed,Mobile
O0000054,C032865,2024-04-17,pending,Store
O0000055,C039697,2024-10-10,completed,Mobile
O0000056,C002687,2023-10-30,completed,Store
O0000057,C015111,2024-06-26,completed,Web
O0000058,C027608,2023-10-29,completed,Mobile
O0000059,C027912,2024-08-20,completed,Web
O0000060,C039487,2023-02-17,completed,Partner
O0000061,C046549,2024-03-13,completed,Web
O0000062,C023656,2024-07-30,completed,Partner
O0000063,C022738,2024-04-13,completed,Web
O0000064,C041198,2024-11-07,refunded,Mobile
O0000065,C017040,2024-11-12,completed,Store
O0000066,C023573,2024-05-30,refunded,Web
O0000067,C046529,2024-07-17,pending,Web
O0000068,C038765,2024-07-16,completed,Mobile
O0000069,C029398,2024-03-02,completed,Partner
O0000070,C007047,2023-01-29,completed,Mobile
O0000071,C007900,2023-04-18,completed,Mobile
O0000072,C032251,2023-07-22,completed,Store
O0000073,C047538,2024-07-18,pending,Partner
O0000074,C042115,2023-07-21,completed,Web
O0000075,C027210,2024-06-09,completed,Store
O0000076,C021339,2023-02-25,completed,Mobile
O0000077,C011389,2023-10-24,pending,Partner
O0000078,C031542,2024-07-04,completed,Store
O0000079,C037229,2023-04-03,completed,Web
O0000080,C043876,2024-02-08,completed,Mobile
O0000081,C005445,2023-02-12,completed,Mobile
O0000082,C036862,2024-08-29,completed,Partner
O0000083,C043318,2023-01-13,completed,Store
O0000084,C039972,2023-06-12,completed,Web
O0000085,C027400,2023-07-23,completed,Web
O0000086,C046151,2024-03-13,completed,Store
O0000087,C037012,2023-08-01,completed,Partner
O0000088,C019885,2023-09-21,completed,Mobile
O0000089,C012698,2023-09-20,refunded,Web
O0000090,C023249,2024-03-22,completed,Store
O0000091,C049734,2023-04-09,completed,Store
O0000092,C023080,2024-11-15,completed,Store
O0000093,C043739,2023-01-28,completed,Mobile
O0000094,C024912,2024-11-16,completed,Partner
O0000095,C024492,2023-07-20,refunded,Store
O0000096,C026160,2024-07-27,completed,Store
O0000097,C016015,2023-04-26,completed,Web
O0000098,C030415,2023-03-23,pending,Web
O0000099,C017452,2024-08-09,pending,Mobile
O0000100,C000574,2024-07-12,refunded,Mobile
O0000101,C010211,2023-12-07,refunded,Partner
O0000102,C043070,2023-03-19,completed,Mobile
O0000103,C025617,2023-03-20,completed,Store
