payment_id,order_id,amount,method,payment_date
PAY00000001,O0000001,911.75,debit_card,2023-07-12
PAY00000002,O0000001,517.46,boleto,2024-03-12
PAY00000003,O0000002,362.64,pix,2024-11-16
PAY00000004,O0000002,1826.9,boleto,2023-07-31
PAY00000005,O0000003,346.19,pix,2023-06-30
PAY00000006,O0000004,1658.73,credit_card,2023-09-18
PAY00000007,O0000005,849.82,voucher,2024-11-20
PAY00000008,O0000006,898.43,debit_card,2023-04-11
PAY00000009,O0000007,18.12,boleto,2024-11-01
PAY00000010,O0000008,1003.74,voucher,2023-06-11
PAY00000011,O0000008,472.2,credit_card,2023-07-10
PAY00000012,O0000009,497.5,voucher,2023-02-18
PAY00000013,O0000010,1088.18,debit_card,2023-11-13
PAY00000014,O0000011,1515.69,pix,2023-06-12
PAY00000015,O0000011,1783.56,pix,2024-05-21
PAY00000016,O0000012,1833.13,pix,2023-08-23
PAY00000017,O0000012,656.74,debit_card,2023-06-03
PAY00000018,O0000013,889.24,debit_card,2023-01-24
PAY00000019,O0000013,1169.52,debit_card,2024-05-01
PAY00000020,O0000014,1332.53,boleto,2024-08-02
PAY00000021,O0000014,1590.5,credit_card,2023-10-17
PAY00000022,O0000015,978.59,credit_card,2023-07-18
PAY00000023,O0000015,1572.09,voucher,2024-08-28
PAY00000024,O0000016,1925.88,debit_card,2024-09-23
PAY00000025,O0000017,264.57,credit_card,2023-11-17
PAY00000026,O0000017,184.22,pix,2023-10-18
PAY00000027,O0000018,1997.16,voucher,2023-06-11
PAY00000028,O0000019,1897.06,pix,2023-05-08
PAY00000029,O0000020,1914.03,debit_card,2023-05-25
PAY00000030,O0000020,1517.85,pix,2023-06-03
PAY00000031,O0000021,946.6,voucher,2023-06-02
PAY00000032,O0000021,1117.27,boleto,2023-01-23
PAY00000033,O0000022,436.28,credit_card,2023-03-24
PAY00000034,O0000023,300.17,boleto,2024-01-25
PAY00000035,O0000024,1671.62,voucher,2024-05-05
PAY00000036,O0000024,384.82,voucher,2023-02-25
PAY00000037,O0000025,388.64,boleto,2023-09-17
PAY00000038,O0000026,941.27,pix,2023-10-28
PAY00000039,O0000026,726.01,credit_card,2023-10-13
PAY00000040,O0000027,1560.51,voucher,2023-09-12
PAY00000041,O0000028,1523.96,voucher,2024-09-04
PAY00000042,O0000028,709.22,voucher,2024-10-22
PAY00000043,O0000029,1265.57,pix,2024-06-22
PAY00000044,O0000030,1935.09,debit_card,2023-06-12
PAY00000045,O0000031,56.21,boleto,2024-01-11
PAY00000046,O0000031,1309.79,credit_card,2024-10-01
PAY00000047,O0000032,398.47,pix,2024-05-01
PAY00000048,O0000032,531.59,credit_card,2024-03-19
PAY00000049,O0000033,1074.4,credit_card,2024-11-27
PAY00000050,O0000033,936.93,credit_card,2024-06-21
PAY00000051,O0000034,764.04,credit_card,2023-05-13
PAY00000052,O0000035,1717.75,boleto,2024-08-04
PAY00000053,O0000035,1397.91,boleto,2024-06-17
PAY00000054,O0000036,1495.4,credit_card,2024-10-25
PAY00000055,O0000036,1958.51,pix,2023-11-30
PAY00000056,O0000037,1456.75,credit_card,2024-08-13
PAY00000057,O0000038,715.84,credit_card,2024-04-14
PAY00000058,O0000039,1253.74,pix,2023-09-29
PAY00000059,O0000039,1928.11,boleto,2024-01-03
PAY00000060,O0000040,1813.95,debit_card,2024-11-03
PAY00000061,O0000040,1973.23,debit_card,2024-01-23
PAY00000062,O0000041,1867.58,pix,2024-08-02
PAY00000063,O0000041,1736.01,boleto,2024-02-26
PAY00000064,O0000042,529.24,voucher,2023-06-25
PAY00000065,O0000042,854.27,debit_card,2023-07-17
PAY00000066,O0000043,772.64,boleto,2023-11-18
PAY00000067,O0000043,1744.06,credit_card,2024-06-11
PAY00000068,O0000044,189.88,voucher,2024-08-07
PAY00000069,O0000044,1620.5,credit_card,2024-11-01
PAY00000070,O0000045,1381.8,voucher,2024-03-21
PAY00000071,O0000046,312.99,pix,2024-02-13
PAY00000072,O0000047,1408.81,credit_card,2023-06-19
PAY00000073,O0000048,1729.94,voucher,2023-01-22
PAY00000074,O0000048,189.18,debit_card,2024-10-01
PAY00000075,O0000049,1703.77,voucher,2024-06-22
