product_id,name,category,price,cost
P00001,Product 1,Clothing,377.78,74.86
P00002,Product 2,Toys,437.15,69.92
P00003,Product 3,Toys,261.67,147.53
P00004,Product 4,Books,360.4,17.9
P00005,Product 5,Toys,414.32,140.73
P00006,Product 6,Home,460.46,20.45
P00007,Product 7,Home,313.71,171.07
P00008,Product 8,Beauty,144.36,187.41
P00009,Product 9,Sports,264.01,82.73
P00010,Product 10,Garden,15.45,55.32
P00011,Product 11,Garden,442.07,102.89
P00012,Product 12,Garden,204.03,60.43
P00013,Product 13,Beauty,198.62,180.49
P00014,Product 14,Garden,433.83,3.53
P00015,Product 15,Electronics,340.79,4.57
P00016,Product 16,Books,134.82,96.72
P00017,Product 17,Clothing,290.25,164.34
P00018,Product 18,Toys,78.5,120.34
P00019,Product 19,Books,286.81,20.43
P00020,Product 20,Toys,133.67,20.6
P00021,Product 21,Home,162.73,50.42
P00022,Product 22,Books,402.38,141.99
P00023,Product 23,Home,143.4,117.45
P00024,Product 24,Clothing,29.08,165.8
P00025,Product 25,Books,253.05,198.27
P00026,Product 26,Sports,93.66,131.86
P00027,Product 27,Electronics,292.09,174.73
P00028,Product 28,Beauty,129.81,192.53
P00029,Product 29,Books,311.85,64.37
P00030,Product 30,Home,443.48,68.31
P00031,Product 31,Garden,383.62,91.51
P00032,Product 32,Clothing,366.05,8.33
P00033,Product 33,Home,350.31,35.71
P00034,Product 34,Toys,406.65,144.45
P00035,Product 35,Toys,92.37,143.88
P00036,Product 36,Beauty,202.09,39.03
P00037,Product 37,Clothing,494.75,56.5
P00038,Product 38,Toys,268.91,82.07
P00039,Product 39,Beauty,292.49,170.41
P00040,Product 40,Electronics,5.77,169.14
P00041,Product 41,Books,37.48,153.35
P00042,Product 42,Books,408.8,23.02
P00043,Product 43,Books,318.29,31.88
P00044,Product 44,Books,393.08,196.06
P00045,Product 45,Electronics,171.39,37.89
P00046,Product 46,Sports,9.69,148.59
P00047,Product 47,Clothing,112.57,169.19
P00048,Product 48,Electronics,76.84,163.28
P00049,Product 49,Beauty,289.63,31.42
P00050,Product 50,Garden,364.77,17.35
P00051,Product 51,Electronics,325.16,43.45
P00052,Product 52,Garden,204.32,92.23
P00053,Product 53,Garden,188.98,11.58
P00054,Product 54,Electronics,149.55,10.02
P00055,Product 55,Clothing,248.09,78.75
P00056,Product 56,Books,197.39,14.09
P00057,Product 57,Beauty,398.68,192.63
P00058,Product 58,Clothing,111.55,134.65
P00059,Product 59,Garden,371.18,160.95
P00060,Product 60,Toys,257.15,23.8
P00061,Product 61,Beauty,349.47,4.43
P00062,Product 62,Beauty,254.82,187.02
P00063,Product 63,Electronics,108.71,152.1
P00064,Product 64,Electronics,346.59,34.6
P00065,Product 65,Electronics,489.63,42.2
P00066,Product 66,Toys,334.06,187.54
P00067,Product 67,Electronics,469.1,87.49
P00068,Product 68,Toys,461.81,113.6
P00069,Product 69,Sports,93.77,104.38
P00070,Product 70,Home,138.95,191.11
P00071,Product 71,Toys,396.25,171.83
P00072,Product 72,Toys,311.12,154.81
P00073,Product 73,Sports,372.96,163.87
P00074,Product 74,Sports,46.62,194.66
P00075,Product 75,Toys,498.16,173.14
P00076,Product 76,Home,185.36,38.71
P00077,Product 77,Electronics,321.91,132.33
P00078,Product 78,Garden,327.53,11.31
P00079,Product 79,Home,352.74,102.72
P00080,Product 80,Electronics,340.67,45.81
P00081,Product 81,Sports,418.53,173.28
P00082,Product 82,Beauty,257.79,87.41
P00083,Product 83,Toys,89.45,98.0
P00084,Product 84,Books,89.73,90.7
P00085,Product 85,Home,46.91,69.43
P00086,Product 86,Beauty,423.5,162.97
P00087,Product 87,Clothing,52.94,33.26
P00088,Product 88,Home,79.85,18.13
P00089,Product 89,Electronics,402.45,71.46
P00090,Product 90,Electronics,444.42,142.39
P00091,Product 91,Sports,438.61,116.42
P00092,Product 92,Electronics,335.92,107.24
P00093,Product 93,Toys,153.21,57.18
P00094,Product 94,Beauty,332.36,191.88
P00095,Product 95,Toys,126.57,73.88
P00096,Product 96,Books,428.98,163.02
P00097,Product 97,Books,323.05,46.04
P00098,Product 98,Toys,90.14,24.71
P00099,Product 99,Toys,286.23,134.66
P00100,Product 100,Toys,63.16,45.22
P00101,Product 101,Books,25.57,89.07
P00102,Product 102,Toys,112.6,84.15
P00103,Product 103,Home,31.77,34.03
P00104,Product 104,Garden,138.66,52.58
P00105,Product 105,Beauty,432.48,145.5
P00106,Product 106,Garden,465.42,30.38
P00107,Product 107,Sports,480.57,138.68
P00108,Product 108,Electronics,68.99,166.93
P00109,Product 109,Electronics,239.95,140.19
P00110,Product 110,Toys,61.95,153.13
P00111,Product 111,Sports,251.14,148.63
P00112,Product 112,Garden,333.81,109.65
P00113,Product 113,Home,381.43,173.21
P00114,Product 114,Beauty,450.7,92.22
P00115,Product 115,Sports,267.41,44.47
P00116,Product 116,Home,61.29,32.91
P00117,Product 117,Sports,410.68,74.22
P00118,Product 118,Electronics,275.49,21.12
P00119,Product 119,Books,23.41,177.89
P00120,Product 120,Home,183.89,145.58
P00121,Product 121,Beauty,251.42,34.2
P00122,Product 122,Toys,201.93,178.8
P00123,Product 123,Beauty,10.87,103.38
P00124,Product 124,Beauty,120.12,28.03
P00125,Product 125,Sports,91.48,25.44
P00126,Product 126,Books,103.05,158.67
P00127,Product 127,Home,36.26,180.54
P00128,Product 128,Home,353.69,88.8
P00129,Product 129,Beauty,266.27,96.87
P00130,Product 130,Clothing,44.49,56.39
P00131,Product 131,Beauty,474.75,123.9
P00132,Product 132,Home,444.28,121.61
P00133,Product 133,Electronics,196.07,159.69
P00134,Product 134,Home,140.27,184.81
P00135,Product 135,Electronics,168.18,157.89
P00136,Product 136,Beauty,277.87,126.03
P00137,Product 137,Garden,435.47,74.98
P00138,Product 138,Home,84.96,190.39
P00139,Product 139,Home,203.95,107.9
P00140,Product 140,Garden,267.99,87.72
P00141,Product 141,Sports,90.32,33.8
P00142,Product 142,Electronics,373.19,43.85
P00143,Product 143,Beauty,367.83,190.35
P00144,Product 144,Beauty,144.15,8.17
P00145,Product 145,Beauty,473.1,143.56
P00146,Product 146,Sports,383.91,89.83
P00147,Product 147,Beauty,196.61,93.47
P00148,Product 148,Home,429.02,160.61
P00149,Product 149,Home,33.63,54.21
P00150,Product 150,Electronics,19.67,132.59
P00151,Product 151,Beauty,442.2,12.22
P00152,Product 152,Beauty,476.52,25.52
P00153,Product 153,Toys,442.99,186.09
P00154,Product 154,Clothing,195.34,4.48
P00155,Product 155,Clothing,431.88,127.66
P00156,Product 156,Garden,444.26,12.79
P00157,Product 157,Books,303.72,12.86
P00158,Product 158,Sports,425.57,81.5
P00159,Product 159,Books,209.33,160.54
P00160,Product 160,Sports,24.15,156.64
P00161,Product 161,Books,431.04,129.38
P00162,Product 162,Beauty,470.99,109.37
P00163,Product 163,Home,169.1,94.05
P00164,Product 164,Home,413.71,96.17
P00165,Product 165,Electronics,174.19,192.43
P00166,Product 166,Beauty,339.03,103.15
P00167,Product 167,Electronics,485.72,95.7
P00168,Product 168,Electronics,294.02,174.81
P00169,Product 169,Electronics,69.11,106.17
P00170,Product 170,Sports,213.51,72.84
P00171,Product 171,Toys,184.65,192.43
P00172,Product 172,Sports,373.04,109.02
P00173,Product 173,Electronics,330.75,23.35
