cr_returned_date_sk,cr_returned_time_sk,cr_item_sk,cr_refunded_customer_sk,cr_refunded_cdemo_sk,cr_refunded_hdemo_sk,cr_refunded_addr_sk,cr_returning_customer_sk,cr_returning_cdemo_sk,cr_returning_hdemo_sk,cr_returning_addr_sk,cr_call_center_sk,cr_catalog_page_sk,cr_ship_mode_sk,cr_warehouse_sk,cr_reason_sk,cr_order_number,cr_return_quantity,cr_return_amount,cr_return_tax,cr_return_amt_inc_tax,cr_fee,cr_return_ship_cost,cr_refunded_cash,cr_reversed_charge,cr_store_credit,cr_net_loss
2450861,58939,178,601,10467,6189,83,601,10467,4547,83,1,9,11,1,1,2,16,270.08,2.70,272.78,70.77,295.52,113.43,65.79,90.86,368.99
2450985,79214,67,601,10467,6189,83,601,10467,5692,83,1,36,8,1,1,2,9,400.59,16.02,416.61,98.83,136.62,356.52,14.10,29.97,251.47
2450902,22932,1,572,15321,6622,147,704,13292,6097,22,1,39,17,1,1,3,28,2316.44,138.98,2455.42,32.46,165.20,602.27,582.81,1131.36,336.64
2450940,36548,85,572,15321,6622,147,141,14726,4450,175,1,49,4,1,1,3,5,254.10,10.16,264.26,38.97,68.80,38.11,125.27,90.72,117.93
2451047,65563,128,351,10243,5567,122,838,698,1900,398,1,31,12,1,1,6,4,21.44,1.50,22.94,66.64,85.76,3.64,9.07,8.73,153.90
2450986,41818,44,674,16930,4395,79,637,3447,1891,246,1,88,10,1,1,9,21,870.87,52.25,923.12,42.83,24.78,209.00,66.18,595.69,119.86
2451002,9143,13,276,4458,1703,340,885,6143,3178,320,1,20,12,1,1,10,22,1477.96,133.01,1610.97,36.69,365.64,1005.01,241.20,231.75,535.34
2451032,18121,31,276,4458,1703,340,280,14001,1047,421,1,53,16,1,1,10,21,69.51,5.56,75.07,61.91,49.35,56.99,9.26,3.26,116.82
2450916,26998,110,731,8891,5715,107,526,15663,6559,243,1,78,1,1,1,11,13,1114.49,78.01,1192.50,46.72,545.87,89.15,71.77,953.57,670.60
2451006,50087,79,731,8891,5715,107,166,10384,6613,150,1,44,14,1,1,11,20,705.60,7.05,712.65,22.21,162.80,77.61,69.07,558.92,192.06
2451009,40271,46,748,6752,2773,362,785,11333,3821,13,1,98,9,1,1,12,6,454.08,9.08,463.16,4.32,14.16,186.17,99.12,168.79,27.56
2451011,34882,122,950,12557,1573,461,346,8820,7025,461,1,62,15,1,1,15,6,827.88,0.00,827.88,1.93,94.86,637.46,182.80,7.62,96.79
2451024,62844,52,957,17126,3839,327,536,15370,4743,172,1,65,12,1,1,16,44,7593.52,607.48,8201.00,7.87,3394.60,379.67,6925.29,288.56,4009.95
2450928,45403,140,3,3984,,,718,,,,1,6,,,,18,,,,,,,,88.69,,
2450993,45816,2,3,3984,3708,437,3,3984,4703,437,1,15,2,1,1,18,18,1359.18,54.36,1413.54,91.23,700.20,1250.44,65.24,43.50,845.79
2450963,74710,136,389,7924,4828,171,809,12478,991,332,1,100,2,1,1,19,7,23.17,0.92,24.09,52.54,75.95,3.01,8.66,11.50,129.41
2451016,14570,130,751,18864,2633,174,994,13325,4477,229,1,102,19,1,1,21,27,938.25,37.53,975.78,30.10,264.60,75.06,138.11,725.08,332.23
2451025,23942,88,751,18864,2633,174,751,18864,1819,174,1,92,9,1,1,21,25,2663.75,0.00,2663.75,9.88,1476.25,1331.87,492.79,839.09,1486.13
2451011,72396,76,242,3428,6015,478,503,3670,5158,301,1,39,16,1,1,22,10,0.00,0.00,0.00,24.35,32.60,0.00,0.00,0.00,56.95
2450942,37262,94,242,3428,6015,478,770,4769,4798,275,1,1,13,1,1,22,50,101.50,0.00,101.50,9.47,93.00,88.30,1.05,12.15,102.47
2450944,72943,7,242,3428,6015,478,20,3090,3314,355,1,14,18,1,1,22,8,44.64,2.23,46.87,99.29,50.00,42.85,0.93,0.86,151.52
2451075,49090,148,703,4634,6661,87,703,4634,517,87,1,13,16,1,1,23,31,459.11,22.95,482.06,76.96,700.60,234.14,49.49,175.48,800.51
2450971,66715,139,67,16312,6342,303,385,5149,7151,230,1,68,14,1,1,27,29,578.26,5.78,584.04,56.51,1012.10,156.13,396.80,25.33,1074.39
2450934,76884,49,67,16312,6342,303,961,5039,3148,137,1,65,17,1,1,27,3,30.57,2.44,33.01,16.34,13.20,7.64,17.88,5.05,31.98
2451020,48762,86,67,16312,6342,303,993,7351,4293,248,1,72,20,1,1,27,1,49.04,0.98,50.02,92.67,38.31,38.25,2.69,8.10,131.96
2450996,48342,170,262,12258,7070,274,262,12258,3051,274,1,22,7,1,1,31,5,169.80,15.28,185.08,43.05,24.25,45.84,78.09,45.87,82.58
2451066,76756,109,262,12258,7070,274,422,9491,1993,454,1,73,10,1,1,31,48,2856.48,257.08,3113.56,14.21,5453.28,142.82,434.18,2279.48,5724.57
2451019,78358,148,262,12258,7070,274,782,18310,421,304,1,96,6,1,1,31,20,465.80,0.00,465.80,93.89,415.80,209.61,174.20,81.99,509.69
2450974,44643,74,388,1290,3089,163,715,5193,6480,15,1,49,13,1,1,32,39,5497.05,164.91,5661.96,1.79,1236.69,3353.20,1350.62,793.23,1403.39
2450876,8496,22,388,1290,3089,163,269,4025,6631,21,1,36,18,1,1,32,17,98.09,4.90,102.99,49.74,228.82,41.19,49.50,7.40,283.46
2451012,35588,106,388,1290,3089,163,305,5789,6417,321,1,23,13,1,1,32,50,469.50,42.25,511.75,17.86,1468.00,258.22,200.71,10.57,1528.11
2450933,43560,70,486,3557,1516,378,924,16836,5562,136,1,13,11,1,1,33,16,644.16,0.00,644.16,23.21,598.08,328.52,227.26,88.38,621.29
2450975,29803,130,755,7972,2357,358,717,2344,71,33,1,100,5,1,1,34,14,463.12,23.15,486.27,32.48,115.78,115.78,65.99,281.35,171.41
