cs_sold_date_sk,cs_sold_time_sk,cs_ship_date_sk,cs_bill_customer_sk,cs_bill_cdemo_sk,cs_bill_hdemo_sk,cs_bill_addr_sk,cs_ship_customer_sk,cs_ship_cdemo_sk,cs_ship_hdemo_sk,cs_ship_addr_sk,cs_call_center_sk,cs_catalog_page_sk,cs_ship_mode_sk,cs_warehouse_sk,cs_item_sk,cs_promo_sk,cs_order_number,cs_quantity,cs_wholesale_cost,cs_list_price,cs_sales_price,cs_ext_discount_amt,cs_ext_sales_price,cs_ext_wholesale_cost,cs_ext_list_price,cs_ext_tax,cs_coupon_amt,cs_ext_ship_cost,cs_net_paid,cs_net_paid_inc_tax,cs_net_paid_inc_ship,cs_net_paid_inc_ship_tax,cs_net_profit
2450815,38212,2450886,153,17212,5775,486,153,17212,5775,486,1,62,3,1,58,1,1,47,27.70,44.32,42.99,62.51,2020.53,1301.90,2083.04,101.02,0.00,1041.52,2020.53,2121.55,3062.05,3163.07,718.63
2450815,38212,2450846,153,17212,5775,486,153,17212,5775,486,1,31,8,1,25,3,1,20,87.55,260.89,153.92,2139.40,3078.40,1751.00,5217.80,71.41,1292.92,1356.60,1785.48,1856.89,3142.08,3213.49,34.48
2450815,38212,2450868,153,17212,5775,486,153,17212,5775,486,1,76,2,1,62,1,1,19,69.86,88.72,29.27,1129.55,556.13,1327.34,1685.68,33.36,0.00,168.53,556.13,589.49,724.66,758.02,-771.21
2450815,38212,2450851,153,17212,5775,486,153,17212,5775,486,1,89,15,1,19,2,1,50,70.00,205.10,188.69,820.50,9434.50,3500.00,10255.00,377.38,0.00,4307.00,9434.50,9811.88,13741.50,14118.88,5934.50
2450815,29485,2450863,601,10467,6189,83,601,10467,6189,83,1,19,1,1,163,2,2,62,54.92,127.96,29.43,6108.86,1824.66,3405.04,7933.52,164.21,0.00,3173.16,1824.66,1988.87,4997.82,5162.03,-1580.38
2450815,29485,2450832,601,10467,6189,83,601,10467,6189,83,1,62,12,1,4,1,2,37,70.56,88.20,23.81,2382.43,880.97,2610.72,3263.40,35.23,0.00,424.02,880.97,916.20,1304.99,1340.22,-1729.75
2450815,29485,2450842,601,10467,6189,83,601,10467,6189,83,1,9,19,1,178,2,2,43,19.77,52.78,16.88,1543.70,725.84,850.11,2269.54,7.25,0.00,930.09,725.84,733.09,1655.93,1663.18,-124.27
2450815,29485,2450882,601,10467,6189,83,601,10467,6189,83,1,75,20,1,10,2,2,19,70.17,136.12,96.64,750.12,1836.16,1333.23,2586.28,55.08,0.00,361.95,1836.16,1891.24,2198.11,2253.19,502.93
2450815,29485,2450870,601,10467,6189,83,601,10467,6189,83,1,44,6,1,82,2,2,87,94.55,225.02,22.50,17619.24,1957.50,8225.85,19576.74,176.17,0.00,8417.25,1957.50,2133.67,10374.75,10550.92,-6268.35
2450815,29485,2450879,601,10467,6189,83,601,10467,6189,83,1,36,12,1,67,3,2,9,41.57,52.37,44.51,70.74,400.59,374.13,471.33,16.02,0.00,98.91,400.59,416.61,499.50,515.52,26.46
2450815,29485,2450873,601,10467,6189,83,601,10467,6189,83,1,5,18,1,139,2,2,38,96.31,264.85,63.56,7649.02,2415.28,3659.78,10064.30,48.30,0.00,603.82,2415.28,2463.58,3019.10,3067.40,-1244.50
2450815,29485,2450850,601,10467,6189,83,601,10467,6189,83,1,46,6,1,26,3,2,3,30.20,51.34,49.28,6.18,147.84,90.60,154.02,0.00,0.00,38.49,147.84,147.84,186.33,186.33,57.24
,,2450826,601,10467,,83,601,10467,,,1,103,,,14,2,2,,,,64.40,,5409.60,7481.04,,384.62,,506.52,4273.59,,4780.11,5164.73,-3207.45
2450815,29485,2450854,601,10467,6189,83,601,10467,6189,83,1,2,13,1,49,3,2,60,66.15,182.57,167.96,876.60,10077.60,3969.00,10954.20,0.00,0.00,1423.80,10077.60,10077.60,11501.40,11501.40,6108.60
2450815,29485,2450904,601,10467,6189,83,601,10467,6189,83,1,60,18,1,116,2,2,56,67.54,166.82,18.35,8314.32,1027.60,3782.24,9341.92,0.00,0.00,3736.32,1027.60,1027.60,4763.92,4763.92,-2754.64
2450815,29485,2450890,601,10467,6189,83,601,10467,6189,83,1,101,8,1,44,2,2,88,20.08,60.03,20.41,3486.56,1796.08,1767.04,5282.64,13.82,1598.51,1056.00,197.57,211.39,1253.57,1267.39,-1569.47
2450815,29485,2450849,601,10467,6189,83,601,10467,6189,83,1,37,4,1,160,3,2,31,40.88,51.91,6.22,1416.39,192.82,1267.28,1609.21,11.56,0.00,321.78,192.82,204.38,514.60,526.16,-1074.46
2450815,29485,2450889,601,10467,6189,83,601,10467,6189,83,1,96,8,1,128,3,2,100,49.56,137.77,5.51,13226.00,551.00,4956.00,13777.00,0.00,0.00,3306.00,551.00,551.00,3857.00,3857.00,-4405.00
2450816,10687,2450869,572,15321,6622,147,572,15321,6622,147,1,83,17,1,55,3,3,30,72.82,88.84,71.07,533.10,2132.10,2184.60,2665.20,21.32,0.00,133.20,2132.10,2153.42,2265.30,2286.62,-52.50
2450816,10687,2450832,572,15321,6622,147,572,15321,6622,147,1,73,1,1,20,1,3,40,94.56,277.06,2.77,10971.60,110.80,3782.40,11082.40,2.21,0.00,664.80,110.80,113.01,775.60,777.81,-3671.60
2450816,10687,2450840,572,15321,6622,147,572,15321,6622,147,1,55,8,1,61,2,3,40,25.96,54.51,15.80,1548.40,632.00,1038.40,2180.40,22.75,176.96,1090.00,455.04,477.79,1545.04,1567.79,-583.36
2450816,10687,2450826,572,15321,6622,147,572,15321,6622,147,1,64,20,1,176,2,3,45,5.95,12.97,8.81,187.20,396.45,267.75,583.65,3.96,0.00,17.10,396.45,400.41,413.55,417.51,128.70
2450816,10687,2450838,572,15321,6622,147,572,15321,6622,147,1,75,7,1,50,1,3,34,43.69,105.29,82.12,787.78,2792.08,1485.46,3579.86,55.84,0.00,930.58,2792.08,2847.92,3722.66,3778.50,1306.62
2450816,10687,2450823,572,15321,6622,147,572,15321,6622,147,1,39,16,1,1,3,3,59,78.90,84.42,82.73,99.71,4881.07,4655.10,4980.78,292.86,0.00,1444.32,4881.07,5173.93,6325.39,6618.25,225.97
2450816,10687,2450896,572,15321,6622,147,572,15321,6622,147,1,49,19,1,85,2,3,94,41.36,105.88,50.82,5175.64,4777.08,3887.84,9952.72,191.08,0.00,497.26,4777.08,4968.16,5274.34,5465.42,889.24
2450817,74512,2450894,383,3755,2480,152,383,3755,2480,152,1,69,18,1,104,2,4,38,26.96,51.22,35.85,584.06,1362.30,1024.48,1946.36,108.98,0.00,642.20,1362.30,1471.28,2004.50,2113.48,337.82
2450817,74512,2450864,383,3755,2480,152,383,3755,2480,152,1,64,16,1,32,2,4,45,9.54,23.37,21.50,84.15,967.50,429.30,1051.65,21.76,725.62,294.30,241.88,263.64,536.18,557.94,-187.42
2450817,74512,2450836,383,3755,2480,152,383,3755,2480,152,1,108,5,1,70,1,4,41,39.04,108.92,75.15,1384.57,3081.15,1600.64,4465.72,215.68,0.00,1964.72,3081.15,3296.83,5045.87,5261.55,1480.51
2450817,74512,2450866,383,3755,2480,152,383,3755,2480,152,1,14,5,1,40,2,4,99,75.88,178.31,156.91,2118.60,15534.09,7512.12,17652.69,1398.06,0.00,6884.46,15534.09,16932.15,22418.55,23816.61,8021.97
2450817,74512,2450907,383,3755,2480,152,383,3755,2480,152,1,13,10,1,8,3,4,90,34.57,89.53,68.04,1934.10,6123.60,3111.30,8057.70,428.65,0.00,1449.90,6123.60,6552.25,7573.50,8002.15,3012.30
2450817,74512,2450848,383,3755,2480,152,383,3755,2480,152,1,106,2,1,34,2,4,75,8.44,14.43,6.34,606.75,475.50,633.00,1082.25,33.28,0.00,10.50,475.50,508.78,486.00,519.28,-157.50
2450818,53201,2450903,801,13467,3797,495,801,13467,3797,495,1,17,7,1,34,3,5,45,45.24,59.26,53.33,266.85,2399.85,2035.80,2666.70,191.98,0.00,479.70,2399.85,2591.83,2879.55,3071.53,364.05
2450818,53201,2450896,801,13467,3797,495,801,13467,3797,495,1,74,4,1,43,2,5,33,89.04,217.25,52.14,5448.63,1720.62,2938.32,7169.25,68.82,0.00,3584.46,1720.62,1789.44,5305.08,5373.90,-1217.70
2450818,53201,2450907,801,13467,3797,495,801,13467,3797,495,1,23,18,1,146,1,5,25,72.16,98.13,29.43,1717.50,735.75,1804.00,2453.25,29.43,0.00,834.00,735.75,765.18,1569.75,1599.18,-1068.25
