sr_returned_date_sk,sr_return_time_sk,sr_item_sk,sr_customer_sk,sr_cdemo_sk,sr_hdemo_sk,sr_addr_sk,sr_store_sk,sr_reason_sk,sr_ticket_number,sr_return_quantity,sr_return_amt,sr_return_tax,sr_return_amt_inc_tax,sr_fee,sr_return_ship_cost,sr_refunded_cash,sr_reversed_charge,sr_store_credit,sr_net_loss
2451984,46418,115,6,5494,4033,397,1,1,1,51,37.23,3.35,40.58,55.28,714.00,0.74,17.51,18.98,772.63
2451822,47480,104,6,6515,7157,251,1,1,1,43,4009.32,120.27,4129.59,28.23,0.00,3448.01,5.61,555.70,148.50
2451621,41562,169,284,16798,7147,72,1,1,2,15,534.60,5.34,539.94,85.02,454.35,235.22,206.57,92.81,544.71
2452659,60999,127,47,17042,6150,375,1,1,3,7,530.53,15.91,546.44,5.67,257.46,74.27,136.87,319.39,279.04
2452671,36227,25,47,6069,2839,37,1,1,3,21,1162.35,23.24,1185.59,25.86,432.81,104.61,750.99,306.75,481.91
2451612,60089,154,814,5807,187,195,1,1,4,1,35.14,2.45,37.59,53.73,62.47,10.89,0.72,23.53,118.65
2451497,46527,176,814,7390,7184,379,1,1,4,7,24.71,0.49,25.20,16.01,1.19,4.94,13.04,6.73,17.69
2451549,54906,170,246,11694,6052,126,1,1,5,18,27.90,2.23,30.13,53.34,83.88,9.48,7.55,10.87,139.45
2451624,41889,61,246,17894,1070,307,1,1,5,9,349.65,31.46,381.11,98.56,306.81,10.48,159.40,179.77,436.83
2452219,51036,69,825,11790,6299,36,1,1,6,18,107.82,2.15,109.97,2.62,174.78,7.54,25.07,75.21,179.55
2452420,38063,117,182,8870,1766,58,1,1,7,1,61.81,3.70,65.51,88.37,24.18,56.24,0.83,4.74,116.25
2452652,40923,66,480,9675,6711,500,1,1,9,19,213.56,6.40,219.96,75.35,78.28,29.89,139.58,44.09,160.03
2452504,48509,79,480,1779,3552,81,1,1,9,32,507.20,5.07,512.27,3.24,214.72,202.88,139.98,164.34,223.03
2452018,59579,139,306,11086,2,50,1,1,10,24,0.00,0.00,0.00,74.33,246.72,0.00,0.00,0.00,321.05
2450985,52953,4,144,14299,3899,334,1,1,13,33,2722.83,0.00,2722.83,33.25,1633.50,435.65,1097.84,1189.34,1666.75
2450931,30083,103,144,7246,3190,31,1,1,13,47,2140.38,107.01,2247.39,1.92,232.65,1455.45,554.79,130.14,341.58
2452346,44636,97,409,1348,3067,319,1,1,14,12,429.72,12.89,442.61,11.50,14.28,403.93,15.21,10.58,38.67
2451894,59346,53,835,2485,5442,318,1,1,15,6,92.76,0.92,93.68,17.91,150.72,51.94,7.75,33.07,169.55
2451899,45099,31,369,8288,1608,151,1,1,15,32,840.64,33.62,874.26,37.27,325.76,807.01,19.16,14.47,396.65
2451827,43181,2,835,17111,2300,177,1,1,15,11,1330.67,53.22,1383.89,39.44,482.57,811.70,25.94,493.03,575.23
2451832,30940,173,835,5355,364,5,1,1,15,64,44.80,3.58,48.38,62.89,202.24,29.12,10.66,5.02,268.71
2450943,53613,76,139,1288,3346,9,1,1,16,17,1419.67,127.77,1547.44,96.15,633.08,1277.70,42.59,99.38,857.00
2451037,51789,142,139,18467,5101,80,1,1,16,1,58.40,2.33,60.73,9.88,26.95,35.62,17.76,5.02,39.16
2451322,54057,8,299,4696,1877,166,1,1,17,5,321.90,22.53,344.43,57.98,105.90,296.14,25.50,0.26,186.41
2451559,36113,88,292,9915,2162,417,1,1,18,9,84.87,6.78,91.65,68.65,243.99,4.24,57.24,23.39,319.42
2451523,39892,133,256,9436,2384,48,1,1,19,2,200.50,6.01,206.51,65.57,48.50,66.16,110.15,24.19,120.08
2451482,53253,14,814,8380,5889,50,1,1,19,29,351.19,21.07,372.26,73.57,48.72,143.98,113.96,93.25,143.36
2451225,39652,145,849,848,168,451,1,1,22,71,252.76,12.63,265.39,88.99,69.58,73.30,161.51,17.95,171.20
2451215,28961,13,935,8462,5813,1,1,1,22,5,161.25,4.83,166.08,99.28,58.15,104.81,28.78,27.66,162.26
2452764,51841,165,669,6408,1949,39,1,1,23,2,51.32,4.61,55.93,57.28,43.10,42.08,8.22,1.02,104.99
2452250,33243,41,69,13719,4115,319,1,1,24,37,1134.42,22.68,1157.10,21.49,1134.42,828.12,58.19,248.11,1178.59
2452288,39848,43,69,14907,6569,143,1,1,24,5,126.00,5.04,131.04,30.77,57.40,57.96,2.72,65.32,93.21
2452297,37700,83,5,6258,6401,163,1,1,26,29,1910.52,57.31,1967.83,9.23,313.20,1050.78,429.87,429.87,379.74
2451986,38831,117,780,1670,2351,152,1,1,27,64,131.84,0.00,131.84,46.15,440.32,98.88,5.93,27.03,486.47
2451992,54062,151,780,9849,2455,76,1,1,27,33,626.67,50.13,676.80,79.00,0.00,162.93,92.74,371.00,129.13
,56039,161,115,,4486,448,,,27,,742.60,44.55,,,,,,,915.31
2452200,52686,81,371,7760,942,451,1,1,28,14,1029.56,51.47,1081.03,72.27,270.90,906.01,46.94,76.61,394.64
2451204,52984,2,631,17083,36,117,1,1,29,60,155.40,0.00,155.40,88.81,266.40,74.59,33.13,47.68,355.21
2451527,58698,67,937,11524,1123,454,1,1,30,48,676.32,33.81,710.13,84.54,327.36,60.86,246.18,369.28,445.71
2451501,36339,109,937,11020,6108,180,1,1,30,43,100.62,6.03,106.65,96.31,52.89,73.45,25.53,1.64,155.23
2452237,45398,25,748,15133,789,484,1,1,31,2,39.62,2.37,41.99,9.61,37.60,31.29,6.83,1.50,49.58
2451907,53087,11,120,5686,2164,14,1,1,32,16,190.56,17.15,207.71,94.08,87.04,3.81,76.56,110.19,198.27
2451201,34423,112,724,4103,1754,268,1,1,33,58,263.90,0.00,263.90,39.44,41.18,73.89,174.80,15.21,80.62
