ss_sold_date_sk,ss_sold_time_sk,ss_item_sk,ss_customer_sk,ss_cdemo_sk,ss_hdemo_sk,ss_addr_sk,ss_store_sk,ss_promo_sk,ss_ticket_number,ss_quantity,ss_wholesale_cost,ss_list_price,ss_sales_price,ss_ext_discount_amt,ss_ext_sales_price,ss_ext_wholesale_cost,ss_ext_list_price,ss_ext_tax,ss_coupon_amt,ss_net_paid,ss_net_paid_inc_tax,ss_net_profit
2451813,65495,128,6,15377,3428,339,1,2,1,79,11.41,18.71,2.80,99.54,221.20,901.39,1478.09,6.08,99.54,121.66,127.74,-779.73
2451813,65495,113,6,15377,3428,339,1,1,1,37,63.63,101.17,41.47,46.03,1534.39,2354.31,3743.29,59.53,46.03,1488.36,1547.89,-865.95
2451813,65495,62,6,15377,3428,339,1,1,1,99,80.52,137.68,83.98,0.00,8314.02,7971.48,13630.32,0.00,0.00,8314.02,8314.02,342.54
2451813,65495,29,6,15377,3428,339,1,1,1,14,57.37,76.30,6.10,0.00,85.40,803.18,1068.20,0.00,0.00,85.40,85.40,-717.78
2451813,65495,115,6,15377,3428,339,1,2,1,100,25.08,36.86,0.73,0.00,73.00,2508.00,3686.00,6.57,0.00,73.00,79.57,-2435.00
2451813,65495,104,6,15377,3428,339,1,2,1,91,93.48,108.43,93.24,0.00,8484.84,8506.68,9867.13,254.54,0.00,8484.84,8739.38,-21.84
2451813,65495,14,6,15377,3428,339,1,1,1,5,10.68,15.91,6.68,0.00,33.40,53.40,79.55,2.33,0.00,33.40,35.73,-20.00
2451813,65495,8,6,15377,3428,339,1,3,1,72,84.72,111.83,61.50,0.00,4428.00,6099.84,8051.76,177.12,0.00,4428.00,4605.12,-1671.84
2451813,65495,11,6,15377,3428,339,1,1,1,14,11.54,11.77,0.00,0.00,0.00,161.56,164.78,0.00,0.00,0.00,0.00,-161.56
2451813,65495,59,6,15377,3428,339,1,3,1,58,4.57,5.34,3.52,0.00,204.16,265.06,309.72,0.00,0.00,204.16,204.16,-60.90
2451813,65495,20,6,15377,3428,339,1,1,1,44,31.07,54.99,24.19,0.00,1064.36,1367.08,2419.56,85.14,0.00,1064.36,1149.50,-302.72
2451813,65495,5,6,15377,3428,339,1,1,1,88,52.41,63.94,49.23,0.00,4332.24,4612.08,5626.72,259.93,0.00,4332.24,4592.17,-279.84
2451813,65495,19,6,15377,3428,339,1,2,1,50,67.71,126.61,87.36,0.00,4368.00,3385.50,6330.50,349.44,0.00,4368.00,4717.44,982.50
2451813,65495,169,6,15377,3428,339,1,3,1,65,27.16,52.14,41.19,0.00,2677.35,1765.40,3389.10,214.18,0.00,2677.35,2891.53,911.95
2451524,,104,,2966,4672,266,1,,2,32,,,56.80,,,,,,,1817.60,1835.77,266.24
2451524,75316,14,284,2966,4672,266,1,2,2,65,96.81,158.76,34.92,0.00,2269.80,6292.65,10319.40,68.09,0.00,2269.80,2337.89,-4022.85
2451524,75316,8,284,2966,4672,266,1,1,2,65,93.86,158.62,34.89,0.00,2267.85,6100.90,10310.30,45.35,0.00,2267.85,2313.20,-3833.05
2451524,75316,10,284,2966,4672,266,1,2,2,93,35.87,49.14,15.23,0.00,1416.39,3335.91,4570.02,113.31,0.00,1416.39,1529.70,-1919.52
2451524,75316,58,284,2966,4672,266,1,3,2,30,2.27,3.83,1.11,0.00,33.30,68.10,114.90,0.00,0.00,33.30,33.30,-34.80
2451524,75316,20,284,2966,4672,266,1,2,2,58,53.09,58.39,7.59,0.00,440.22,3079.22,3386.62,0.00,0.00,440.22,440.22,-2639.00
,75316,4,,,4672,,1,,2,,17.12,19.85,,,,,,19.07,,476.77,,-310.75
2451524,75316,19,284,2966,4672,266,1,3,2,79,88.02,128.50,69.39,4549.90,5481.81,6953.58,10151.50,83.87,4549.90,931.91,1015.78,-6021.67
2451524,75316,169,284,2966,4672,266,1,3,2,25,74.26,89.11,35.64,0.00,891.00,1856.50,2227.75,8.91,0.00,891.00,899.91,-965.50
2451524,75316,118,284,2966,4672,266,1,3,2,78,65.71,88.70,23.06,341.74,1798.68,5125.38,6918.60,131.12,341.74,1456.94,1588.06,-3668.44
2451524,75316,52,284,2966,4672,266,1,2,2,88,64.43,79.89,41.54,0.00,3655.52,5669.84,7030.32,146.22,0.00,3655.52,3801.74,-2014.32
2451524,75316,31,284,2966,4672,266,1,3,2,49,6.55,7.86,7.46,0.00,365.54,320.95,385.14,0.00,0.00,365.54,365.54,44.59
2451524,75316,121,284,2966,4672,266,1,2,2,4,13.46,15.34,12.57,0.00,50.28,53.84,61.36,4.02,0.00,50.28,54.30,-3.56
2451524,75316,152,284,2966,4672,266,1,3,2,74,16.55,17.21,4.47,0.00,330.78,1224.70,1273.54,0.00,0.00,330.78,330.78,-893.92
2451524,75316,103,284,2966,4672,266,1,2,2,71,36.01,64.09,3.20,0.00,227.20,2556.71,4550.39,4.54,0.00,227.20,231.74,-2329.51
2452638,50412,79,47,10132,697,122,1,3,3,36,61.23,93.06,11.16,0.00,401.76,2204.28,3350.16,28.12,0.00,401.76,429.88,-1802.52
2452638,50412,138,47,10132,697,122,1,1,3,62,77.97,85.76,79.75,0.00,4944.50,4834.14,5317.12,0.00,0.00,4944.50,4944.50,110.36
2452638,50412,93,47,10132,697,122,1,2,3,3,21.22,33.31,20.31,0.00,60.93,63.66,99.93,0.00,0.00,60.93,60.93,-2.73
2452638,50412,147,47,10132,697,122,1,2,3,82,56.14,111.15,46.68,0.00,3827.76,4603.48,9114.30,306.22,0.00,3827.76,4133.98,-775.72
2452638,50412,78,47,10132,697,122,1,1,3,96,98.02,136.24,104.90,0.00,10070.40,9409.92,13079.04,100.70,0.00,10070.40,10171.10,660.48
,,144,,,,122,1,3,3,,,130.66,,,3104.46,,3527.82,124.17,,,,
2452638,50412,165,47,10132,697,122,1,3,3,42,97.03,178.53,7.14,0.00,299.88,4075.26,7498.26,17.99,0.00,299.88,317.87,-3775.38
2452638,50412,33,47,10132,697,122,1,2,3,64,74.69,120.25,2.40,0.00,153.60,4780.16,7696.00,3.07,0.00,153.60,156.67,-4626.56
2452638,50412,127,47,10132,697,122,1,2,3,17,72.38,111.46,75.79,0.00,1288.43,1230.46,1894.82,38.65,0.00,1288.43,1327.08,57.97
2452638,50412,48,47,10132,697,122,1,3,3,88,27.95,38.57,26.99,403.77,2375.12,2459.60,3394.16,0.00,403.77,1971.35,1971.35,-488.25
2452638,50412,180,47,10132,697,122,1,2,3,4,95.75,146.49,43.94,0.00,175.76,383.00,585.96,5.27,0.00,175.76,181.03,-207.24
2452638,50412,75,47,10132,697,122,1,2,3,79,44.66,83.06,17.44,1115.98,1377.76,3528.14,6561.74,5.23,1115.98,261.78,267.01,-3266.36
2452638,50412,90,47,10132,697,122,1,3,3,56,4.31,6.76,0.06,3.22,3.36,241.36,378.56,0.01,3.22,0.14,0.15,-241.22
2452638,50412,25,47,10132,697,122,1,2,3,27,37.04,58.89,55.35,0.00,1494.45,1000.08,1590.03,29.88,0.00,1494.45,1524.33,494.37
2451438,38195,154,814,10426,1511,83,1,1,4,4,75.67,130.15,35.14,0.00,140.56,302.68,520.60,9.83,0.00,140.56,150.39,-162.12
2451438,38195,40,814,10426,1511,83,1,3,4,53,23.04,44.00,26.40,0.00,1399.20,1221.12,2332.00,13.99,0.00,1399.20,1413.19,178.08
2451438,38195,82,814,10426,1511,83,1,1,4,98,85.00,132.60,90.16,4506.19,8835.68,8330.00,12994.80,0.00,4506.19,4329.49,4329.49,-4000.51
2451438,38195,94,814,10426,1511,83,1,3,4,74,81.36,87.05,50.48,0.00,3735.52,6020.64,6441.70,112.06,0.00,3735.52,3847.58,-2285.12
2451438,38195,64,814,10426,1511,83,1,1,4,37,73.09,129.36,14.22,0.00,526.14,2704.33,4786.32,15.78,0.00,526.14,541.92,-2178.19
2451438,38195,38,814,10426,1511,83,1,2,4,43,54.34,107.59,87.14,0.00,3747.02,2336.62,4626.37,299.76,0.00,3747.02,4046.78,1410.40
2451438,38195,176,814,10426,1511,83,1,2,4,23,2.91,3.57,3.53,32.47,81.19,66.93,82.11,0.97,32.47,48.72,49.69,-18.21
2451438,38195,158,814,10426,1511,83,1,1,4,56,64.68,78.90,24.45,0.00,1369.20,3622.08,4418.40,0.00,0.00,1369.20,1369.20,-2252.88
2451438,38195,43,814,10426,1511,83,1,2,4,21,40.39,40.39,12.11,0.00,254.31,848.19,848.19,22.88,0.00,254.31,277.19,-593.88
2451438,38195,163,814,10426,1511,83,1,1,4,41,67.18,78.60,5.50,0.00,225.50,2754.38,3222.60,13.53,0.00,225.50,239.03,-2528.88
2451465,53976,80,246,3144,5042,440,1,2,5,27,26.21,44.81,19.26,0.00,520.02,707.67,1209.87,46.80,0.00,520.02,566.82,-187.65
2451465,53976,86,246,3144,5042,440,1,1,5,86,64.67,123.51,55.57,0.00,4779.02,5561.62,10621.86,47.79,0.00,4779.02,4826.81,-782.60
2451465,53976,122,246,3144,5042,440,1,1,5,17,54.26,105.80,9.52,116.52,161.84,922.42,1798.60,0.00,116.52,45.32,45.32,-877.10
2451465,53976,85,246,3144,5042,440,1,3,5,74,81.81,163.62,45.81,0.00,3389.94,6053.94,12107.88,271.19,0.00,3389.94,3661.13,-2664.00
2451465,53976,170,246,3144,5042,440,1,2,5,23,53.28,77.78,1.55,21.03,35.65,1225.44,1788.94,1.16,21.03,14.62,15.78,-1210.82
2451465,53976,106,246,3144,5042,440,1,1,5,16,62.65,114.02,103.75,0.00,1660.00,1002.40,1824.32,99.60,0.00,1660.00,1759.60,657.60
2451465,53976,157,246,3144,5042,440,1,1,5,66,19.24,34.05,27.24,0.00,1797.84,1269.84,2247.30,71.91,0.00,1797.84,1869.75,528.00
2451465,53976,145,246,3144,5042,440,1,1,5,87,59.32,107.36,51.53,0.00,4483.11,5160.84,9340.32,134.49,0.00,4483.11,4617.60,-677.73
2451465,53976,61,246,3144,5042,440,1,3,5,38,47.49,79.30,38.85,1181.04,1476.30,1804.62,3013.40,26.57,1181.04,295.26,321.83,-1509.36
2451465,53976,56,246,3144,5042,440,1,1,5,37,53.24,91.04,2.73,82.82,101.01,1969.88,3368.48,1.27,82.82,18.19,19.46,-1951.69
,53976,55,246,,,,1,1,5,32,,63.90,,,,,,91.59,,,1236.55,
2451465,53976,124,246,3144,5042,440,1,1,5,60,69.54,112.65,57.45,0.00,3447.00,4172.40,6759.00,34.47,0.00,3447.00,3481.47,-725.40
2451465,53976,175,246,3144,5042,440,1,1,5,52,16.33,32.33,31.68,0.00,1647.36,849.16,1681.16,115.31,0.00,1647.36,1762.67,798.20
2451465,53976,13,246,3144,5042,440,1,2,5,83,74.15,89.72,63.70,0.00,5287.10,6154.45,7446.76,422.96,0.00,5287.10,5710.06,-867.35
2451465,53976,148,246,3144,5042,440,1,3,5,15,21.21,33.93,30.53,0.00,457.95,318.15,508.95,22.89,0.00,457.95,480.84,139.80
2452109,36794,13,29,6776,2092,300,1,3,6,71,22.10,37.57,28.17,0.00,2000.07,1569.10,2667.47,180.00,0.00,2000.07,2180.07,430.97
2452109,36794,149,29,6776,2092,300,1,2,6,36,7.93,12.92,7.36,0.00,264.96,285.48,465.12,0.00,0.00,264.96,264.96,-20.52
2452109,36794,117,29,6776,2092,300,1,1,6,66,71.06,136.43,45.02,0.00,2971.32,4689.96,9004.38,59.42,0.00,2971.32,3030.74,-1718.64
2452109,36794,69,29,6776,2092,300,1,2,6,66,21.01,28.57,5.99,0.00,395.34,1386.66,1885.62,7.90,0.00,395.34,403.24,-991.32
,36794,151,,6776,,,1,2,6,50,30.69,59.84,,,,1534.50,,0.00,0.00,,1735.00,200.50
2452109,36794,67,29,6776,2092,300,1,2,6,91,27.68,53.69,0.53,0.00,48.23,2518.88,4885.79,3.85,0.00,48.23,52.08,-2470.65
2452109,36794,51,29,6776,2092,300,1,2,6,76,89.78,103.24,50.58,0.00,3844.08,6823.28,7846.24,153.76,0.00,3844.08,3997.84,-2979.20
2452109,36794,109,29,6776,2092,300,1,3,6,64,87.90,95.81,66.10,0.00,4230.40,5625.60,6131.84,0.00,0.00,4230.40,4230.40,-1395.20
2452109,36794,161,29,6776,2092,300,1,2,6,60,41.72,52.98,32.31,0.00,1938.60,2503.20,3178.80,0.00,0.00,1938.60,1938.60,-564.60
,36794,131,29,,,300,1,,6,,,77.52,11.62,0.00,732.06,,4883.76,43.92,,,,-3514.77
2452109,36794,45,29,6776,2092,300,1,2,6,50,30.96,56.34,45.07,0.00,2253.50,1548.00,2817.00,22.53,0.00,2253.50,2276.03,705.50
2452260,46712,125,954,6828,791,133,1,1,7,23,13.23,18.65,14.54,0.00,334.42,304.29,428.95,13.37,0.00,334.42,347.79,30.13
,,175,954,,791,,,3,7,,,,,,449.88,,,,,,,142.12
2452260,46712,13,954,6828,791,133,1,3,7,31,49.78,77.15,69.43,0.00,2152.33,1543.18,2391.65,0.00,0.00,2152.33,2152.33,609.15
2452260,46712,149,954,6828,791,133,1,2,7,62,85.07,159.08,76.35,0.00,4733.70,5274.34,9862.96,189.34,0.00,4733.70,4923.04,-540.64
2452260,46712,117,954,6828,791,133,1,3,7,1,71.10,89.58,61.81,0.00,61.81,71.10,89.58,3.70,0.00,61.81,65.51,-9.29
2452260,46712,69,954,6828,791,133,1,3,7,61,48.18,60.70,18.81,126.21,1147.41,2938.98,3702.70,71.48,126.21,1021.20,1092.68,-1917.78
2452260,46712,151,954,6828,791,133,1,2,7,42,64.46,70.26,32.31,0.00,1357.02,2707.32,2950.92,27.14,0.00,1357.02,1384.16,-1350.30
2452260,46712,67,954,6828,791,133,1,3,7,100,41.08,42.31,38.50,0.00,3850.00,4108.00,4231.00,346.50,0.00,3850.00,4196.50,-258.00
2452260,46712,51,954,6828,791,133,1,3,7,64,86.35,152.83,122.26,6650.94,7824.64,5526.40,9781.12,35.21,6650.94,1173.70,1208.91,-4352.70
2452260,46712,109,954,6828,791,133,1,3,7,94,62.67,99.64,97.64,0.00,9178.16,5890.98,9366.16,91.78,0.00,9178.16,9269.94,3287.18
2452260,46712,161,954,6828,791,133,1,3,7,72,55.49,93.77,55.32,0.00,3983.04,3995.28,6751.44,199.15,0.00,3983.04,4182.19,-12.24
2452260,46712,131,954,6828,791,133,1,3,7,100,4.45,7.87,7.24,0.00,724.00,445.00,787.00,57.92,0.00,724.00,781.92,279.00
