wr_returned_date_sk,wr_returned_time_sk,wr_item_sk,wr_refunded_customer_sk,wr_refunded_cdemo_sk,wr_refunded_hdemo_sk,wr_refunded_addr_sk,wr_returning_customer_sk,wr_returning_cdemo_sk,wr_returning_hdemo_sk,wr_returning_addr_sk,wr_web_page_sk,wr_reason_sk,wr_order_number,wr_return_quantity,wr_return_amt,wr_return_tax,wr_return_amt_inc_tax,wr_fee,wr_return_ship_cost,wr_refunded_cash,wr_reversed_charge,wr_account_credit,wr_net_loss
2451653,7022,2,224,12819,3446,57,224,12819,3446,57,1,1,1,10,698.20,13.96,712.16,18.63,820.30,300.22,382.06,15.92,852.89
2451627,64915,146,811,18405,199,293,811,18405,199,293,1,1,1,47,1248.79,49.95,1298.74,61.81,709.23,262.24,128.25,858.30,820.99
2452719,11945,75,625,7998,5475,200,625,7998,5475,200,1,1,2,8,298.48,26.86,325.34,40.26,192.24,5.96,187.21,105.31,259.36
2451785,62343,161,60,4561,6357,329,60,4561,6357,329,1,1,3,14,406.00,32.48,438.48,92.32,256.34,406.00,0.00,0.00,381.14
2452169,79965,29,502,24,6898,196,502,24,6898,196,1,1,5,38,637.64,6.37,644.01,43.95,392.16,76.51,448.90,112.23,442.48
2451654,76763,146,762,6341,6825,33,762,6341,6825,33,1,1,6,30,1655.40,49.66,1705.06,34.63,93.00,993.24,79.45,582.71,177.29
2451403,66912,40,748,8719,6585,280,748,8719,6585,280,1,1,7,59,269.04,24.21,293.25,89.19,807.71,247.51,15.71,5.82,921.11
2451071,47660,130,492,98,1393,67,492,98,1393,67,1,1,9,12,1467.00,117.36,1584.36,31.38,589.80,850.86,314.23,301.91,738.54
2451025,41738,145,119,8976,1240,377,119,8976,1240,377,1,1,9,2,89.60,0.00,89.60,59.44,83.20,46.59,3.44,39.57,142.64
2450970,56150,55,393,11486,3267,104,393,11486,3267,104,1,1,9,40,484.00,19.36,503.36,55.27,3710.40,411.40,50.09,22.51,3785.03
2452410,51583,153,77,9565,3061,453,77,9565,3061,453,1,1,14,4,79.68,2.39,82.07,63.26,32.12,69.32,0.82,9.54,97.77
