country_code,indicator_code,year,value
AF,NY.GDP.MKTP.CD,2023,17152234636.8715
AF,NY.GDP.MKTP.CD,2022,14497243872.1337
AF,NY.GDP.MKTP.CD,2021,14259995441.0759
AF,NY.GDP.MKTP.CD,2020,19955929052.1496
AF,NY.GDP.MKTP.CD,2019,18799444490.1128
AF,NY.GDP.MKTP.CD,2018,18053222687.4126
AF,NY.GDP.MKTP.CD,2017,18753456497.8159
AF,NY.GDP.MKTP.CD,2016,18116572395.0772
AF,NY.GDP.MKTP.CD,2015,19134221644.7325
AF,NY.GDP.MKTP.CD,2014,20497128555.6972
AF,NY.GDP.MKTP.CD,2013,20146416757.5987
AF,NY.GDP.MKTP.CD,2012,19907329777.5872
AF,NY.GDP.MKTP.CD,2011,17805098206.3141
AF,NY.GDP.MKTP.CD,2010,15856668555.8336
AF,NY.GDP.MKTP.CD,2009,12416152732.0567
AF,NY.GDP.MKTP.CD,2008,10109297047.5432
AF,NY.GDP.MKTP.CD,2007,9747886187.39393
AF,NY.GDP.MKTP.CD,2006,6971758282.29351
AF,NY.GDP.MKTP.CD,2005,6203256538.70967
AF,NY.GDP.MKTP.CD,2004,5224896718.67782
AF,NY.GDP.MKTP.CD,2003,4520946818.54581
AF,NY.GDP.MKTP.CD,2002,3825701438.99963
AF,NY.GDP.MKTP.CD,2001,2813571753.87253
AF,NY.GDP.MKTP.CD,2000,3521418059.92345
AL,NY.GDP.MKTP.CD,2023,23491242727.4082
AL,NY.GDP.MKTP.CD,2022,19017247013.8821
AL,NY.GDP.MKTP.CD,2021,18031989573.0294
AL,NY.GDP.MKTP.CD,2020,15241458744.5927
AL,NY.GDP.MKTP.CD,2019,15585111614.0376
AL,NY.GDP.MKTP.CD,2018,15379508329.7568
AL,NY.GDP.MKTP.CD,2017,13258268435.6048
AL,NY.GDP.MKTP.CD,2016,11988668784.6628
AL,NY.GDP.MKTP.CD,2015,11470171826.9575
AL,NY.GDP.MKTP.CD,2014,13296322588.1684
AL,NY.GDP.MKTP.CD,2013,12796985886.1478
AL,NY.GDP.MKTP.CD,2012,12246499747.9714
AL,NY.GDP.MKTP.CD,2011,12973755874.5365
AL,NY.GDP.MKTP.CD,2010,12086545641.299
AL,NY.GDP.MKTP.CD,2009,12335540656.1006
AL,NY.GDP.MKTP.CD,2008,13258506375.4518
AL,NY.GDP.MKTP.CD,2007,11116937869.8568
AL,NY.GDP.MKTP.CD,2006,9150528132.17633
AL,NY.GDP.MKTP.CD,2005,8256658249.8128
AL,NY.GDP.MKTP.CD,2004,7406645793.44038
AL,NY.GDP.MKTP.CD,2003,5801712040.48463
AL,NY.GDP.MKTP.CD,2002,4515003116.68036
AL,NY.GDP.MKTP.CD,2001,4059064033.13379
AL,NY.GDP.MKTP.CD,2000,3584570164.85195
AL,NY.GDP.MKTP.CD,1999,3283941510.49964
AL,NY.GDP.MKTP.CD,1998,2600356999.20614
AL,NY.GDP.MKTP.CD,1997,2293666029.99318
AL,NY.GDP.MKTP.CD,1996,3234486232.04392
AL,NY.GDP.MKTP.CD,1995,2905092798.61916
AL,NY.GDP.MKTP.CD,1994,1880950864.41311
AL,NY.GDP.MKTP.CD,1993,1185315468.46295
AL,NY.GDP.MKTP.CD,1992,652174990.837304
AL,NY.GDP.MKTP.CD,1991,1099559027.77778
AL,NY.GDP.MKTP.CD,1990,2028553750.0
AL,NY.GDP.MKTP.CD,1989,2253090000.0
AL,NY.GDP.MKTP.CD,1988,2051236250.0
AL,NY.GDP.MKTP.CD,1987,2080796250.0
AL,NY.GDP.MKTP.CD,1986,2097326250.0
AL,NY.GDP.MKTP.CD,1985,1897050116.55012
AL,NY.GDP.MKTP.CD,1984,1857337995.338
AL,NY.GDP.MKTP.CD,1983,1881412587.41259
AL,NY.GDP.MKTP.CD,1982,1861163170.16317
AL,NY.GDP.MKTP.CD,1981,1808177156.17716
AL,NY.GDP.MKTP.CD,1980,1578102105.26316
DZ,NY.GDP.MKTP.CD,2023,247923887214.655
DZ,NY.GDP.MKTP.CD,2022,225581644702.568
DZ,NY.GDP.MKTP.CD,2021,186231205262.082
DZ,NY.GDP.MKTP.CD,2020,164873415325.201
DZ,NY.GDP.MKTP.CD,2019,193459662090.677
DZ,NY.GDP.MKTP.CD,2018,194554483655.528
DZ,NY.GDP.MKTP.CD,2017,189880896903.073
DZ,NY.GDP.MKTP.CD,2016,180763839522.151
DZ,NY.GDP.MKTP.CD,2015,187493855609.345
DZ,NY.GDP.MKTP.CD,2014,238942664192.59
DZ,NY.GDP.MKTP.CD,2013,229701430292.157
DZ,NY.GDP.MKTP.CD,2012,227143746075.934
DZ,NY.GDP.MKTP.CD,2011,218331946925.304
DZ,NY.GDP.MKTP.CD,2010,177785053939.531
