transaction_id,customer_id,transaction_date,product,channel,amount,status
T1,C1010,2024-11-27,Mortgage,Web,4023.19,refunded
T2,C1316,2024-10-08,Investment,API,914.29,pending
T3,C1541,2024-04-03,Loan,Mobile,435.14,completed
T4,C1064,2024-09-28,Loan,Web,1421.43,refunded
T5,C1782,2024-09-18,Mortgage,Web,3826.67,completed
T6,C1070,2024-11-12,Loan,Branch,2376.48,pending
T7,C1725,2024-12-07,Savings,Mobile,2393.28,completed
T8,C1011,2024-06-09,Investment,Branch,4564.93,pending
T9,C1038,2024-03-07,Savings,Web,184.38,completed
T10,C1165,2024-04-09,Credit Card,Web,3487.18,completed
T11,C1366,2024-06-09,Checking,API,2360.98,completed
T12,C1454,2024-02-27,Loan,API,4219.18,completed
T13,C1506,2024-02-03,Savings,API,3334.13,completed
T14,C1174,2024-04-21,Credit Card,Web,1108.34,completed
T15,C1342,2024-11-10,Checking,Branch,348.55,completed
T16,C1586,2024-07-04,Checking,Branch,4237.32,pending
T17,C1360,2024-11-19,Savings,Partner,2966.65,pending
T18,C1268,2024-03-12,Savings,Branch,4078.93,completed
T19,C1152,2024-11-19,Mortgage,Branch,3576.56,completed
T20,C1006,2024-09-01,Mortgage,Partner,2796.1,completed
T21,C1522,2024-03-20,Credit Card,API,3502.37,refunded
T22,C1211,2024-03-23,Savings,Partner,4475.16,completed
T23,C1765,2024-01-02,Investment,Branch,1340.47,completed
T24,C1994,2024-11-19,Checking,API,4804.41,refunded
T25,C1686,2024-05-28,Mortgage,API,3116.82,completed
T26,C1174,2024-09-11,Savings,Branch,1327.81,completed
T27,C1880,2024-07-23,Checking,Web,4025.18,completed
T28,C1254,2024-01-17,Mortgage,Mobile,2333.62,completed
T29,C1587,2024-03-26,Investment,API,3355.74,refunded
T30,C1632,2024-09-12,Mortgage,API,2696.72,completed
T31,C1507,2024-03-22,Credit Card,Branch,3445.89,pending
T32,C1653,2024-10-20,Savings,API,46.58,refunded
T33,C1303,2024-08-11,Savings,Branch,2342.69,completed
T34,C1292,2024-05-10,Loan,Mobile,173.45,pending
T35,C1817,2024-07-29,Savings,Branch,2580.51,refunded
T36,C1380,2024-09-28,Loan,API,1735.57,completed
T37,C1113,2024-02-14,Checking,Branch,2072.77,completed
T38,C1843,2024-05-07,Mortgage,Mobile,3770.32,completed
T39,C1854,2024-09-26,Checking,Web,3938.26,pending
T40,C1250,2024-12-19,Credit Card,Mobile,647.21,completed
T41,C1824,2024-08-12,Mortgage,Mobile,682.03,completed
T42,C1937,2024-08-31,Checking,Web,2788.81,completed
T43,C1460,2024-12-07,Savings,Branch,4445.61,completed
T44,C1352,2024-06-10,Mortgage,API,4960.49,pending
T45,C1548,2024-07-17,Mortgage,API,1305.74,completed
T46,C1672,2024-08-03,Credit Card,Web,918.22,pending
T47,C1518,2024-02-24,Credit Card,API,1851.65,completed
T48,C1689,2024-02-02,Checking,Partner,4402.44,pending
T49,C1622,2024-07-22,Credit Card,Partner,665.45,pending
T50,C1701,2024-08-15,Credit Card,Branch,1381.44,completed
T51,C1651,2024-02-27,Mortgage,Web,4598.46,completed
T52,C1721,2024-07-03,Checking,API,4892.25,completed
T53,C1310,2024-09-12,Checking,Mobile,1092.44,completed
T54,C1615,2024-05-09,Loan,API,3411.62,completed
T55,C1842,2024-03-04,Mortgage,Branch,4616.76,completed
T56,C1125,2024-12-23,Checking,API,223.07,refunded
T57,C1863,2024-05-01,Investment,API,1506.22,refunded
T58,C1083,2024-08-29,Checking,Web,4773.89,completed
T59,C1129,2024-12-25,Checking,API,481.19,completed
T60,C1768,2024-12-07,Credit Card,Partner,1164.97,refunded
T61,C1988,2024-04-18,Loan,API,869.89,completed
