employee_id,department,role,hire_date,tenure_months,salary,performance_score,status
E1,Sales,Director,2019-01-01,73,145978,4.2,active
E2,HR,Manager,2019-01-02,73,90755,2.3,active
E3,Finance,Junior,2019-01-02,73,156297,4.4,active
E4,Sales,Senior,2019-01-01,73,132002,1.6,active
E5,Sales,Intern,2019-01-01,73,80417,2.2,active
E6,Operations,Director,2019-01-02,73,96046,4.1,active
E7,Marketing,Director,2019-01-01,73,130973,2.2,left
E8,Engineering,Senior,2019-01-01,73,89282,2.1,active
E9,Marketing,Intern,2019-01-01,73,124148,1.9,left
E10,Operations,Junior,2019-01-01,73,66645,1.9,left
E11,Finance,Junior,2019-01-02,73,145655,3.4,active
E12,Operations,Manager,2019-01-02,73,81220,3.9,left
E13,Finance,Manager,2019-01-02,73,73101,2.4,active
E14,Sales,Director,2019-01-02,73,133246,3.9,active
E15,Operations,Junior,2019-01-01,73,79514,4.9,active
E16,Operations,Intern,2019-01-02,73,146469,2.0,active
E17,Finance,Junior,2019-01-02,73,45361,2.4,active
E18,Finance,Director,2019-01-02,73,142724,2.1,active
E19,HR,Junior,2019-01-01,73,118113,4.3,active
E20,Engineering,Senior,2019-01-01,73,90658,4.4,active
E21,Marketing,Intern,2019-01-01,73,68202,4.0,active
E22,Finance,Junior,2019-01-02,73,155600,1.2,active
E23,HR,Junior,2019-01-01,73,86635,5.0,left
E24,Engineering,Manager,2019-01-01,73,55728,2.6,active
E25,Finance,Director,2019-01-01,73,55227,2.2,left
E26,Finance,Intern,2019-01-01,73,90855,1.5,active
E27,Marketing,Senior,2019-01-01,73,178623,1.6,active
E28,HR,Junior,2019-01-02,73,105776,4.6,left
E29,Finance,Manager,2019-01-01,73,153126,3.2,active
E30,HR,Manager,2019-01-02,73,154520,1.3,active
E31,Sales,Intern,2019-01-01,73,78491,4.7,active
E32,HR,Intern,2019-01-02,73,114547,1.3,active
E33,Finance,Intern,2019-01-02,73,176295,4.2,active
E34,HR,Senior,2019-01-02,73,163399,2.1,left
E35,Marketing,Junior,2019-01-02,73,92447,2.0,active
E36,Sales,Manager,2019-01-01,73,98698,2.8,active
E37,HR,Director,2019-01-02,73,61969,4.8,active
E38,Sales,Junior,2019-01-02,73,49340,3.6,active
E39,Finance,Intern,2019-01-01,73,110357,2.7,active
E40,Sales,Director,2019-01-01,73,89226,1.5,left
E41,Finance,Director,2019-01-02,73,65421,2.3,active
E42,HR,Intern,2019-01-01,73,56290,2.8,active
E43,HR,Director,2019-01-02,73,162023,2.1,left
E44,Engineering,Junior,2019-01-01,73,97894,1.3,active
E45,Engineering,Intern,2019-01-02,73,140387,3.1,left
E46,Finance,Manager,2019-01-02,73,102924,3.9,active
E47,Marketing,Senior,2019-01-02,73,71393,3.4,active
E48,Marketing,Senior,2019-01-02,73,76606,3.1,active
E49,HR,Junior,2019-01-02,73,77845,3.9,active
