campaign_id,campaign_name,channel,date,impressions,clicks,leads,spend,revenue
M1,Campaign 7,Instagram,2024-07-05,60245,2545,298,14116.16,51925.03
M2,Campaign 6,Email,2024-07-19,461347,17563,1076,8624.1,22718.5
M3,Campaign 9,TikTok,2024-03-06,428446,5528,710,6797.43,22233.3
M4,Campaign 12,LinkedIn,2024-01-14,56556,2653,170,12497.4,36693.29
M5,Campaign 7,Email,2024-12-29,126511,5448,810,1190.0,4711.63
M6,Campaign 5,Facebook,2024-10-20,460916,8698,773,10124.28,18913.12
M7,Campaign 11,LinkedIn,2024-05-20,90234,3540,377,16474.98,19880.96
M8,Campaign 7,LinkedIn,2024-02-04,472264,12610,2352,8764.42,19805.99
M9,Campaign 8,Instagram,2024-02-15,381502,3826,560,2148.27,4842.23
M10,Campaign 1,Google Ads,2024-10-28,271597,9521,958,18254.59,24896.78
M11,Campaign 8,Google Ads,2024-05-13,350500,3815,598,12679.99,6517.15
M12,Campaign 5,Facebook,2024-10-11,42452,1008,139,18011.79,11736.3
M13,Campaign 10,Facebook,2024-08-17,210091,4397,821,801.99,1046.49
M14,Campaign 4,LinkedIn,2024-11-23,254810,3393,366,5975.78,19689.23
M15,Campaign 2,TikTok,2024-05-03,229380,8485,954,1383.1,3280.97
M16,Campaign 1,Instagram,2024-01-16,90581,4256,324,19174.11,20275.21
M17,Campaign 11,Facebook,2024-06-04,449945,12821,965,6646.53,22188.09
M18,Campaign 11,Email,2024-11-29,287846,8269,1222,5863.36,5689.29
M19,Campaign 11,Instagram,2024-05-11,480969,4883,561,17000.71,43823.65
M20,Campaign 9,Facebook,2024-12-02,116380,2210,434,7059.44,26582.85
M21,Campaign 11,TikTok,2024-07-20,444499,10485,1640,5778.95,13088.62
M22,Campaign 9,LinkedIn,2024-01-04,138728,2343,201,16621.33,63429.18
M23,Campaign 4,LinkedIn,2024-12-29,58504,2766,236,15362.99,33730.55
M24,Campaign 8,Google Ads,2024-04-02,303006,4670,574,13664.09,39664.53
