order_id,customer_id,order_date,region,category,product,quantity,unit_price,amount,status
1,C1057,2024-01-13,East,Clothing,Jeans,2,370.86,741.72,pending
2,C1279,2024-02-14,Central,Sports,Yoga Mat,1,55.9,55.9,completed
3,C1258,2024-11-04,North,Beauty,Moisturizer,5,215.55,1077.75,completed
4,C1142,2024-01-04,South,Books,Sci-Fi,3,146.15,438.45,completed
5,C1172,2024-02-22,North,Sports,Yoga Mat,3,425.26,1275.78,refunded
6,C1135,2024-01-23,West,Beauty,Serum,4,48.6,194.4,completed
7,C1185,2024-10-22,South,Books,Novel,1,334.01,334.01,completed
8,C1040,2024-04-29,North,Sports,Water Bottle,4,321.48,1285.92,completed
9,C1083,2024-07-08,East,Clothing,Jacket,1,308.46,308.46,completed
10,C1273,2024-05-05,South,Sports,Resistance Band,3,494.86,1484.58,pending
11,C1285,2024-04-22,East,Electronics,Smartwatch,1,404.46,404.46,completed
12,C1137,2024-02-03,South,Beauty,Sunscreen,2,331.15,662.3,completed
13,C1234,2024-03-14,East,Clothing,Jeans,5,274.09,1370.45,pending
14,C1299,2024-08-07,Central,Sports,Water Bottle,2,498.68,997.36,completed
15,C1260,2024-09-09,North,Electronics,Headphones,2,317.44,634.88,pending
16,C1216,2024-11-01,North,Sports,Resistance Band,5,498.09,2490.45,refunded
17,C1128,2024-10-10,North,Books,Novel,5,377.92,1889.6,pending
18,C1174,2024-02-27,East,Sports,Dumbbells,4,11.58,46.32,pending
19,C1134,2024-09-13,South,Beauty,Serum,3,422.41,1267.23,refunded
20,C1101,2024-03-19,East,Clothing,Dress,5,460.05,2300.25,refunded
21,C1165,2024-09-07,North,Electronics,Speaker,3,127.32,381.96,completed
22,C1290,2024-02-10,North,Books,Sci-Fi,1,489.2,489.2,refunded
23,C1064,2024-03-06,West,Beauty,Moisturizer,3,268.55,805.65,refunded
24,C1216,2024-04-18,Central,Books,Cookbook,3,205.5,616.5,pending
25,C1191,2024-08-12,Central,Sports,Yoga Mat,2,120.09,240.18,completed
26,C1010,2024-10-28,Central,Clothing,Dress,2,13.51,27.02,pending
27,C1030,2024-04-27,North,Electronics,Speaker,1,261.93,261.93,completed
28,C1248,2024-04-19,Central,Clothing,Dress,5,241.6,1208.0,completed
29,C1208,2024-04-07,North,Electronics,Charger,3,217.54,652.62,completed
30,C1027,2024-12-10,North,Electronics,Charger,3,402.28,1206.84,completed
31,C1127,2024-04-08,South,Beauty,Shampoo,2,216.71,433.42,completed
32,C1236,2024-05-07,North,Sports,Jump Rope,1,34.78,34.78,refunded
33,C1007,2024-02-17,South,Clothing,Sneakers,4,245.86,983.44,completed
34,C1030,2024-03-25,West,Electronics,Charger,3,463.98,1391.94,completed
35,C1146,2024-08-04,Central,Books,Sci-Fi,2,103.04,206.08,completed
36,C1029,2024-10-23,Central,Electronics,Speaker,1,34.56,34.56,completed
37,C1257,2024-09-28,South,Electronics,Keyboard,1,427.15,427.15,completed
38,C1034,2024-12-11,South,Sports,Yoga Mat,5,130.64,653.2,refunded
39,C1020,2024-11-13,North,Sports,Jump Rope,5,266.15,1330.75,completed
40,C1104,2024-12-08,East,Clothing,Jacket,4,74.12,296.48,pending
41,C1153,2024-08-22,East,Electronics,Headphones,4,314.36,1257.44,refunded
42,C1051,2024-02-07,Central,Clothing,Dress,3,74.89,224.67,completed
43,C1035,2024-05-05,East,Home,Pillow,4,418.53,1674.12,pending
44,C1154,2024-11-09,Central,Electronics,Keyboard,3,466.55,1399.65,completed
45,C1068,2024-05-15,North,Electronics,Keyboard,2,143.44,286.88,refunded
46,C1107,2024-06-24,South,Books,Biography,5,249.37,1246.85,completed
