user_id,signup_date,plan,top_feature,sessions,days_active,mrr,status
U1,2024-05-06,Business,Integrations,156,17,421.69,churned
U2,2023-12-15,Enterprise,API,62,18,285.43,trial
U3,2023-09-02,Free,Integrations,126,30,339.41,active
U4,2023-09-21,Free,Automation,101,28,235.51,active
U5,2023-04-22,Free,Dashboard,156,16,386.11,active
U6,2023-08-02,Enterprise,Reports,68,5,226.53,active
U7,2024-05-08,Enterprise,Reports,79,23,448.94,active
U8,2023-03-17,Enterprise,Dashboard,168,26,93.63,active
U9,2023-03-05,Free,Reports,156,19,347.24,active
U10,2024-03-04,Pro,Reports,18,28,4.5,churned
U11,2023-11-12,Pro,API,151,8,164.07,active
U12,2023-11-22,Business,API,198,20,332.48,active
U13,2023-09-28,Pro,Automation,52,14,245.87,active
U14,2024-03-29,Free,Reports,31,2,109.02,active
U15,2024-02-22,Enterprise,Reports,12,29,94.2,active
U16,2023-04-15,Business,AI Insights,166,0,261.6,active
U17,2024-05-07,Business,API,128,2,355.1,active
U18,2023-01-14,Enterprise,Integrations,197,28,93.85,active
U19,2023-07-03,Pro,API,126,11,233.63,active
U20,2023-07-26,Free,AI Insights,59,12,111.9,trial
U21,2023-06-16,Business,AI Insights,62,15,324.13,churned
U22,2023-10-31,Business,Integrations,46,5,67.85,active
U23,2023-07-22,Enterprise,Reports,53,15,42.13,active
U24,2023-01-15,Pro,Reports,78,28,69.0,trial
U25,2023-06-16,Free,Dashboard,178,17,28.43,active
U26,2023-02-25,Free,Dashboard,65,24,216.86,active
U27,2023-12-02,Business,Automation,118,6,197.29,active
U28,2023-07-14,Free,Integrations,153,3,228.71,trial
U29,2024-02-24,Free,AI Insights,115,20,32.45,churned
U30,2023-10-15,Pro,Automation,29,22,70.92,active
U31,2023-02-22,Pro,Automation,40,1,385.79,churned
U32,2023-12-23,Business,Dashboard,116,6,277.54,trial
U33,2024-05-05,Enterprise,Automation,11,15,132.67,trial
U34,2024-01-24,Pro,AI Insights,161,24,388.63,trial
U35,2023-10-09,Pro,Integrations,91,16,24.12,active
U36,2023-04-08,Free,Dashboard,14,15,226.8,trial
U37,2024-02-24,Pro,Reports,184,27,495.33,active
U38,2023-09-06,Business,Automation,128,13,482.03,churned
U39,2023-04-25,Enterprise,Dashboard,73,13,38.45,active
U40,2024-01-22,Pro,Dashboard,126,11,257.35,active
U41,2024-02-13,Enterprise,AI Insights,18,4,492.7,churned
U42,2023-09-27,Enterprise,Automation,16,1,90.55,churned
U43,2023-12-11,Free,Integrations,111,23,205.08,trial
U44,2023-06-18,Enterprise,AI Insights,166,9,280.47,active
U45,2024-04-23,Business,Reports,166,4,368.24,active
U46,2023-01-07,Pro,Reports,170,1,154.34,active
U47,2023-01-18,Business,Reports,64,1,222.12,active
U48,2023-02-21,Free,API,109,14,25.59,churned
U49,2023-10-11,Pro,Automation,43,19,211.68,trial
U50,2024-05-12,Pro,API,157,25,365.54,active
U51,2023-03-01,Business,AI Insights,111,3,281.28,trial
U52,2023-11-24,Enterprise,API,147,5,234.95,active
U53,2023-10-28,Business,Integrations,103,30,134.91,active
U54,2024-02-05,Pro,Dashboard,42,14,148.35,churned
U55,2023-01-12,Free,Integrations,128,7,296.27,active
U56,2024-01-03,Free,AI Insights,11,0,354.76,active
U57,2023-08-20,Free,API,45,8,412.81,churned
