shipment_id,sku,warehouse,order_date,ship_date,lead_time_days,quantity,cost,status
S1,SKU3280,East DC,2024-10-05,2024-10-11,6,109,126.44,delivered
S2,SKU5528,West DC,2024-09-27,2024-10-09,12,449,99.07,delivered
S3,SKU5528,East DC,2024-07-01,2024-07-06,5,19,70.39,delayed
S4,SKU3173,West DC,2024-11-26,2024-11-29,3,13,191.0,delayed
S5,SKU4787,West DC,2024-10-03,2024-10-15,12,483,33.08,delivered
S6,SKU7087,West DC,2024-08-06,2024-08-08,2,195,143.66,delayed
S7,SKU9344,West DC,2024-04-17,2024-04-21,4,320,93.61,delivered
S8,SKU9344,Central DC,2024-11-22,2024-11-25,3,202,91.4,delivered
S9,SKU1009,Central DC,2024-12-06,2024-12-08,2,316,84.57,delivered
S10,SKU2110,East DC,2024-11-09,2024-11-16,7,130,41.54,delivered
S11,SKU5826,East DC,2024-08-08,2024-08-12,4,12,156.83,delivered
S12,SKU7346,East DC,2024-02-23,2024-03-06,12,15,64.79,delivered
S13,SKU4373,South DC,2024-01-13,2024-01-17,4,65,20.83,delivered
S14,SKU1313,South DC,2024-08-27,2024-08-30,3,420,26.33,delivered
S15,SKU4787,East DC,2024-10-23,2024-10-31,8,461,63.38,delivered
S16,SKU5826,East DC,2024-03-15,2024-03-16,1,374,186.37,delayed
S17,SKU5528,West DC,2024-02-21,2024-03-04,12,44,29.54,delayed
S18,SKU3280,Central DC,2024-05-30,2024-06-07,8,115,38.46,delivered
S19,SKU4154,East DC,2024-09-05,2024-09-07,2,273,183.76,in_transit
S20,SKU7642,West DC,2024-07-22,2024-07-23,1,31,7.56,delivered
S21,SKU9648,West DC,2024-11-16,2024-11-19,3,384,156.98,delivered
S22,SKU5847,West DC,2024-02-11,2024-02-12,1,237,108.39,delivered
S23,SKU1009,South DC,2024-02-25,2024-03-09,13,310,167.37,delayed
S24,SKU6006,West DC,2024-07-08,2024-07-18,10,88,113.71,delayed
S25,SKU1441,Central DC,2024-06-03,2024-06-04,1,439,39.28,delivered
S26,SKU9349,West DC,2024-08-15,2024-08-20,5,410,176.33,delayed
S27,SKU8432,South DC,2024-01-29,2024-01-31,2,272,191.32,in_transit
S28,SKU7880,Central DC,2024-07-23,2024-08-03,11,292,183.62,delivered
S29,SKU1411,Central DC,2024-05-26,2024-06-08,13,52,151.05,in_transit
S30,SKU7592,West DC,2024-03-25,2024-04-05,11,116,67.74,delivered
S31,SKU3525,East DC,2024-06-19,2024-07-03,14,202,135.21,delayed
S32,SKU1141,Central DC,2024-01-26,2024-02-03,8,293,102.37,delivered
S33,SKU5873,East DC,2024-05-13,2024-05-16,3,347,106.98,delivered
S34,SKU9738,Central DC,2024-03-01,2024-03-05,4,395,22.13,delivered
S35,SKU1411,East DC,2024-03-25,2024-04-05,11,395,192.88,delivered
S36,SKU5528,Central DC,2024-02-03,2024-02-11,8,101,154.96,delayed
S37,SKU1703,West DC,2024-04-29,2024-05-02,3,414,9.42,delivered
S38,SKU6835,Central DC,2024-11-19,2024-11-22,3,325,50.77,delivered
S39,SKU3368,East DC,2024-09-29,2024-10-07,8,346,102.58,delayed
S40,SKU5826,Central DC,2024-05-10,2024-05-23,13,117,169.17,delivered
S41,SKU1070,East DC,2024-10-02,2024-10-11,9,498,121.1,delivered
S42,SKU1441,West DC,2024-06-12,2024-06-14,2,122,117.14,delayed
S43,SKU1703,South DC,2024-05-25,2024-06-04,10,160,159.44,in_transit
S44,SKU7087,South DC,2024-02-15,2024-02-22,7,498,108.27,in_transit
